,tree.num,simulation,method,height,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps,dxy
1,748,1,raxml,Lates,40,0,0,INT,REF,0.055814316545578,0.055814316545578,0.0075923315724713,0.0182903651646516,45.5416666666667,36.9248566071825,-1.42028003673823,-1.42028003673823,0.249853897346174,0.249853897346174,0.623261919753644,0.623261919753644,s1_q40_miss0_mac0.REF.lates.INT.noInv,70048,0.0397409
2,113,1,raxml,Lates,40,0,1,INT,REF,0.430009758784685,0.430009758784685,0.0049674135701528,0.0429667556507133,40.8541666666667,37.3710489740178,0.937826932963506,0.937826932963506,0.2278887195575,0.2278887195575,0.546383797493282,0.546383797493282,s1_q40_miss0_mac1.REF.lates.INT.noInv,70048,0.0397409
3,17,1,raxml,Lates,40,0,2,INT,REF,0.430009758784685,0.430009758784685,0.0049674135701528,0.0429667556507133,40.8541666666667,37.3710489740178,0.937826932963506,0.937826932963506,0.2278887195575,0.2278887195575,0.546383797493282,0.546383797493282,s1_q40_miss0_mac2.REF.lates.INT.noInv,70048,0.0397409
4,584,1,raxml,Lates,40,0,3,EXT,REF,0.095602484652668,0.095602484652668,0.00516514123536742,0.0131268462356915,56.0625,32.811781907036,0.180145440328856,0.180145440328856,0.604042389188553,0.604042389188553,0.895080994888492,0.895080994888492,s1_q40_miss0_mac3.REF.lates.EXT.noInv,40226,0.550003
5,363,1,raxml,Lates,40,0,3,INT,REF,0.048946937635116,0.048946937635116,0.00575246278252268,0.0150289283089299,37.7916666666667,38.5122021742727,-1.77172962421843,-1.77172962421843,0.258090839016927,0.258090839016927,0.565603328058373,0.565603328058373,s1_q40_miss0_mac3.REF.lates.INT.noInv,10062,0.0397409
6,102,1,raxml,Lates,40,0,4,EXT,REF,0.0740396968333999,0.0740396968333999,0.00800259017421016,0.0215623173130311,42.4583333333333,37.6105227089403,0.824632615251182,0.824632615251182,0.282801664029186,0.282801664029186,0.683666158672499,0.683666158672499,s1_q40_miss0_mac4.REF.lates.EXT.noInv,32869,0.550003
7,347,1,raxml,Lates,40,0,4,INT,REF,0.034290000717242,0.034290000717242,0.00767746722158213,0.0240785253029156,34.1041666666667,33.5744581131052,-5.12733441947596,-5.12733441947596,0.370662375183885,0.370662375183885,0.76054428093286,0.76054428093286,s1_q40_miss0_mac4.REF.lates.INT.noInv,8841,0.0397409
8,770,1,raxml,Lates,40,0,5,EXT,REF,0.589411888223833,0.589411888223833,0.00592785522086517,0.0589378542988569,39.4166666666667,38.3238347775472,-1.46629892613389,-1.46629892613389,0.26632778068768,0.26632778068768,0.623261919753644,0.623261919753644,s1_q40_miss0_mac5.REF.lates.EXT.noInv,28142,0.550003
9,327,1,raxml,Lates,40,0,5,INT,REF,0.0842403122381144,0.0842403122381144,0.00666579640073378,0.0178733542136569,38.5833333333333,36.7954861554843,0.635648721939953,0.635648721939953,0.359679786289548,0.359679786289548,0.711122630908342,0.711122630908342,s1_q40_miss0_mac5.REF.lates.INT.noInv,7886,0.0397409
10,79,1,raxml,Lates,40,0,10,EXT,REF,0.024806554801033,0.024806554801033,0.0107173223111633,0.0372485462883314,41.5416666666667,36.4014018512693,-5.30221141082655,-5.30221141082655,0.302021194594277,0.302021194594277,0.664446628107409,0.664446628107409,s1_q40_miss0_mac10.REF.lates.EXT.noInv,18688,0.550003
11,345,1,raxml,Lates,40,0,10,INT,REF,0.02385003605772,0.02385003605772,0.00924884365913976,0.030133803086186,40.1458333333333,35.354730992416,-4.17996791332574,-4.17996791332574,0.291038605699939,0.291038605699939,0.664446628107409,0.664446628107409,s1_q40_miss0_mac10.REF.lates.INT.noInv,5442,0.0397409
12,499,1,raxml,Lates,40,0.25,0,EXT,REF,0.260275459225703,0.260275459225703,0.00319666286609642,0.0260104152481289,44.5625,37.3937679697931,-0.651333200807606,-0.651333200807606,0.351442844618795,0.351442844618795,0.74132475036777,0.74132475036777,NA,NA,0.550003
13,238,1,raxml,Lates,40,0.25,0,INT,REF,0.325821523425859,0.325821523425859,0.00397465296551436,0.0325556439804884,40.6458333333333,38.1260449223158,-0.72208998052104,-0.72208998052104,0.263582133464096,0.263582133464096,0.587568505847047,0.587568505847047,s1_q40_miss0.25_mac0.REF.lates.INT.noInv,42268,0.0397409
14,514,1,raxml,Lates,40,0.25,1,EXT,REF,0.27123601255443,0.27123601255443,0.00328042336394832,0.0270950000826005,38.3125,36.8771140757136,-1.30457656032694,-1.30457656032694,0.249853897346174,0.249853897346174,0.496962147468764,0.496962147468764,NA,NA,0.550003
15,67,1,raxml,Lates,40,0.25,1,INT,REF,0.325821523425859,0.325821523425859,0.00397465296551436,0.0325556439804884,40.6458333333333,38.1260449223158,-0.72208998052104,-0.72208998052104,0.263582133464096,0.263582133464096,0.587568505847047,0.587568505847047,s1_q40_miss0.25_mac1.REF.lates.INT.noInv,42268,0.0397409
16,621,1,raxml,Lates,40,0.25,2,EXT,REF,0.286221090257298,0.286221090257298,0.00348071512956534,0.0285827951494664,46,34.2369714309832,-0.580915205196685,-0.580915205196685,0.332223314053704,0.332223314053704,0.705631336461174,0.705631336461174,s1_q40_miss0.25_mac2.REF.lates.EXT.noInv,171549,0.550003
17,7,1,raxml,Lates,40,0.25,2,INT,REF,0.325821523425859,0.325821523425859,0.00397465296551436,0.0325556439804884,40.6458333333333,38.1260449223158,-0.72208998052104,-0.72208998052104,0.263582133464096,0.263582133464096,0.587568505847047,0.587568505847047,s1_q40_miss0.25_mac2.REF.lates.INT.noInv,42268,0.0397409
18,561,1,raxml,Lates,40,0.25,3,EXT,REF,0.111788004392699,0.111788004392699,0.00569866044547787,0.0167832260004976,49.6666666666667,37.1176011085945,0.812921054792402,0.812921054792402,0.280056016805602,0.280056016805602,0.65895533366024,0.65895533366024,s1_q40_miss0.25_mac3.REF.lates.EXT.noInv,33964,0.550003
19,329,1,raxml,Lates,40,0.25,3,INT,REF,0.0235499386923962,0.0235499386923962,0.0058733581372755,0.0200165267667146,38.0625,34.9950794413498,-1.81164359332293,-1.81164359332293,0.337714608500873,0.337714608500873,0.727596514249848,0.727596514249848,s1_q40_miss0.25_mac3.REF.lates.INT.noInv,8848,0.0397409
20,121,1,raxml,Lates,40,0.25,4,EXT,REF,0.0735187858642189,0.0735187858642189,0.00748351613881306,0.0187338431841827,42.0625,38.6376545750881,-0.722826254586157,-0.722826254586157,0.258090839016927,0.258090839016927,0.631498861424397,0.631498861424397,s1_q40_miss0.25_mac4.REF.lates.EXT.noInv,28913,0.550003
21,333,1,raxml,Lates,40,0.25,4,INT,REF,0.0275166902534142,0.0275166902534142,0.00746880404380944,0.0261163084610711,33.1875,34.7738323296932,-2.5407144707378,-2.5407144707378,0.562857680834788,0.562857680834788,0.870370169876234,0.870370169876234,s1_q40_miss0.25_mac4.REF.lates.INT.noInv,7898,0.0397409
22,769,1,raxml,Lates,40,0.25,5,EXT,REF,0.370660560061001,0.370660560061001,0.00373606611217817,0.037063142237056,37.0208333333333,33.6524726942868,1.05075024939907,1.05075024939907,0.313003783488614,0.313003783488614,0.554620739164035,0.554620739164035,s1_q40_miss0.25_mac5.REF.lates.EXT.noInv,26309,0.550003
23,313,1,raxml,Lates,40,0.25,5,INT,REF,0.0464122101875195,0.0464122101875195,0.00634915382220057,0.0186843409681887,44.6458333333333,37.1560765531386,-1.40167349387954,-1.40167349387954,0.49421650024518,0.49421650024518,0.939011350465842,0.939011350465842,s1_q40_miss0.25_mac5.REF.lates.INT.noInv,7363,0.0397409
24,97,1,raxml,Lates,40,0.25,10,EXT,REF,0.0250898164939112,0.0250898164939112,0.0106843354791945,0.0370823482625038,41.2083333333333,36.9052601528611,-5.31928340802492,-5.31928340802492,0.260836486240512,0.260836486240512,0.562857680834788,0.562857680834788,s1_q40_miss0.25_mac10.REF.lates.EXT.noInv,18503,0.550003
25,344,1,raxml,Lates,40,0.25,10,INT,REF,0.0328040682859547,0.0328040682859547,0.00513250864493916,0.0135442958578003,45.8958333333333,34.2812147450636,-1.21103614949629,-1.21103614949629,0.571094622505541,0.571094622505541,0.867624522652649,0.867624522652649,s1_q40_miss0.25_mac10.REF.lates.INT.noInv,5383,0.0397409
26,668,1,raxml,Lates,40,0.5,0,EXT,REF,0.260459457063878,0.260459457063878,0.00317663743820743,0.0260193026662569,48.9583333333333,38.0855466712535,-1.74160704343793,-1.74160704343793,0.5958054475178,0.5958054475178,0.969213469925269,0.969213469925269,s1_q40_miss0.50_mac0.REF.lates.EXT.noInv,126067,0.550003
27,264,1,raxml,Lates,40,0.5,0,INT,REF,0.0214022402544254,0.0214022402544254,0.00893579950471956,0.0321105196502593,34.6041666666667,33.0658527875417,-3.26253149209316,-3.26253149209316,0.57658591695271,0.57658591695271,0.971959117148854,0.971959117148854,s1_q40_miss0.50_mac0.REF.lates.INT.noInv,30237,0.0397409
28,675,1,raxml,Lates,40,0.5,1,EXT,REF,0.269074458761942,0.269074458761942,0.00325856271661834,0.0268749323646903,44.8541666666667,36.1380271119786,-2.18117558906044,-2.18117558906044,0.47499696968009,0.47499696968009,0.84291369764039,0.84291369764039,s1_q40_miss0.50_mac1.REF.lates.EXT.noInv,126067,0.550003
29,100,1,raxml,Lates,40,0.5,1,INT,REF,0.300849994755696,0.300849994755696,0.00371797834980331,0.0300615344296298,42.0833333333333,37.1614266572971,0.270116675413794,0.270116675413794,0.230634366781084,0.230634366781084,0.538146855822529,0.538146855822529,s1_q40_miss0.50_mac1.REF.lates.INT.noInv,30237,0.0397409
30,695,1,raxml,Lates,40,0.5,2,EXT,REF,0.270701477203499,0.270701477203499,0.00327856925981664,0.0270330727473116,42.7916666666667,38.197113811728,-1.37435067691618,-1.37435067691618,0.628753214200812,0.628753214200812,1.01314382550262,1.01314382550262,s1_q40_miss0.50_mac2.REF.lates.EXT.noInv,126067,0.550003
31,28,1,raxml,Lates,40,0.5,2,INT,REF,0.300849994755696,0.300849994755696,0.00371797834980331,0.0300615344296298,42.0833333333333,37.1614266572971,0.270116675413794,0.270116675413794,0.230634366781084,0.230634366781084,0.538146855822529,0.538146855822529,s1_q40_miss0.50_mac2.REF.lates.INT.noInv,30237,0.0397409
32,624,1,raxml,Lates,40,0.5,3,EXT,REF,0.0932244674714776,0.0932244674714776,0.00502494334392802,0.0134509446286317,43.7291666666667,38.169130661583,0.443959643942991,0.443959643942991,0.400864494643313,0.400864494643313,0.862133228205481,0.862133228205481,s1_q40_miss0.50_mac3.REF.lates.EXT.noInv,27118,0.550003
33,459,1,raxml,Lates,40,0.5,3,INT,REF,0.0860281944658449,0.0860281944658449,0.00573785905389746,0.0144011361929159,36.7083333333333,34.4018544362434,0.812990435333501,0.812990435333501,0.277310369582018,0.277310369582018,0.584822858623463,0.584822858623463,s1_q40_miss0.50_mac3.REF.lates.INT.noInv,6726,0.0397409
34,195,1,raxml,Lates,40,0.5,4,EXT,REF,0.0707090885710119,0.0707090885710119,0.00706277722081374,0.0166934152457216,46.625,35.9506902250788,-0.743079088172036,-0.743079088172036,0.244362602899006,0.244362602899006,0.617770625306475,0.617770625306475,s1_q40_miss0.50_mac4.REF.lates.EXT.noInv,23301,0.550003
