,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,std.gamma,std.ingroup.gamma,colless,std.colless,std.ingroup.colless,sackin,std.sackin,std.ingroup.sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf
1,6,SHORT,raxml,40,0.25,0.01,EXT,REF,0_0_0,NA,28948,0.76715959081995,-13.6603981574565,-23.4221047913762,-13.1065972593024,0.31920004913667,-50,6,689,-195,-138,0.169642239723245,0.0748102261111608,0.0562705864941036,154,-13.5335752293554,0.282,644,41,32.2490309931942,450044.435312852
2,6,SHORT,raxml,40,0.25,0.02,EXT,REF,0_0_0,NA,23408,0.620342396777442,-13.2239804005378,-22.9856870344574,-12.5061143524911,0.340874126547184,67,70,866,78,80,0.190470446462017,0.086846132949538,0.0648862297834628,158,-12.9330923225441,0.346,862,35.4795918367347,30.8535715628224,450042.805467369
3,6,SHORT,raxml,40,0.25,0.03,EXT,REF,0_0_0,NA,20895,0.553744633487041,-13.0502777526533,-22.811984386573,-12.4598356604088,0.267970411620908,-103,-8,768,-116,-20,0.203059518200827,0.0948005862950051,0.0708311486817084,148,-12.8868136304618,0.268,762,39.3265306122449,30.30286145864,450041.118159734
4,6,SHORT,raxml,40,0.25,0.04,EXT,REF,0_0_0,NA,19209,0.509063444108761,-13.3259203392853,-23.0876269732049,-12.4997458385032,0.240385222189344,-139,-40,585,-298,-208,0.222208426066566,0.101832738321923,0.0751892998476303,148,-12.9267238085562,0.236,574,39.2551020408163,31.7624271400114,450040.178052062
5,6,SHORT,raxml,40,0.25,0.05,EXT,REF,0_0_0,NA,17912,0.474691259871734,-13.5531596193416,-23.3148662532612,-12.9523229594525,0.307377825094571,-63,-7,693,-187,-131,0.234710425936627,0.107289695441352,0.0794224216764292,154,-13.3793009295055,0.269,651,39.7040816326531,32.9022949670135,450039.443088166
6,6,SHORT,raxml,40,0.25,0.1,EXT,REF,0_0_0,NA,13460,0.356707478666455,-13.2556741505837,-23.0173807845033,-12.5314516063778,0.338903755873501,-73,26,780,-104,-46,0.278077024819046,0.129431576564975,0.0926827519876571,156,-12.9584295764307,0.302,736,39.1734693877551,30.3332098329058,450036.51950712
7,6,SHORT,raxml,40,0.5,0.01,EXT,REF,0_0_0,NA,28899,0.765861027190332,-13.7742215793464,-23.5359282132661,-12.9440013298311,0.344814867894551,-25,75,986,103,103,0.1524449087961,0.07472973554079,0.0559009210872082,150,-13.3709792998841,0.351,885,40.9795918367347,33.4019505547597,450044.533845645
8,6,SHORT,raxml,40,0.5,0.02,EXT,REF,0_0_0,NA,23359,0.619043833147824,-13.7443605424494,-23.5060671763691,-12.5433366214443,0.545792676610232,179,179,1066,85,183,0.168535633317661,0.0873862454291237,0.0658613001296389,146,-12.9703145914972,0.455,965,36.3163265306122,31.216766886084,450042.189351145
9,6,SHORT,raxml,40,0.5,0.03,EXT,REF,0_0_0,NA,20852,0.552605077648805,-13.342734301626,-23.1044409355457,-12.4377029815996,0.362548203957699,-7,90,876,-7,88,0.20992265806309,0.0952902796750531,0.0713055236190855,150,-12.8646809516526,0.366,870,37.6632653061224,32.0373312779548,450041.103628598
10,6,SHORT,raxml,40,0.5,0.04,EXT,REF,0_0_0,NA,19168,0.507976890867653,-13.6351188095448,-23.3968254434645,-12.5682815755778,0.466977849662906,196,199,1065,87,185,0.197068985251027,0.101522346501502,0.075024016229827,148,-12.9952595456308,0.475,967,34.2959183673469,32.390086679836,450040.073290367
