,tree.num,simulation,height,method,quality,missing,maf,sites,taxa_ref,int,noref,avg_dxy,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.gamma,std.ingroup.colless,std.ingroup.sackin
1,1,7,SHORT,raxml,40,0.75,0,125269,0_0_0,EXT,REF,0.404188,2.03234679758542,0.0719138402664671,0.0506575717469784,0.201493569278682,65,29.3293840023524,-8.68776183701867,-8.9308561645329,0.258090839016927,0.424264068711929,0.719359572579095,1.03520432765711,66,0.193393357342937,0.373022592581768,-9.16397543063044,-0.291038605699939,-0.406355789090481,0.996293792500099,-2.962545934937,-0.00282842712474618,0.0197989898732231
2,2,8,SHORT,raxml,40,0.75,0,123167,25_0_0,INT,REF,0.115377,1.28326976747958,0.0905010556841204,0.0451270418161132,0.127459779946843,81.3125,21.5161060405673,-9.55358856154786,-9.87304366686999,0.192195305650903,0.166877200360025,0.636990155871565,0.840042856049618,62,0.236130452180872,0.383415937368556,-15.0877440754894,-0.189449658427319,-0.381644964078222,0.989682686358486,-4.66146265154418,-0.0876812408671319,-0.0650538238691624
3,3,7,SHORT,raxml,40,0.5,0,125634,0_0_0,EXT,REF,0.404188,2.03784290458162,0.0754801919027904,0.0507334754952517,0.202034017291933,62.6666666666667,32.7045662329019,-8.78690879951207,-9.039049932394,0.291038605699939,0.336582827844797,0.829185461522469,0.981464212286928,62,0.179595838335334,0.373316227716716,-11.612929170776,-0.258090839016927,-0.296529900147108,0.999196723267189,-3.0536556215865,-0.0905096679918781,-0.0339411254969544
4,4,7,SHORT,raxml,40,0.25,0,125718,0_0_0,EXT,REF,0.404188,2.03782980927633,0.0677236312835856,0.0507348907946311,0.202032534109324,64.5208333333333,33.0273835987032,-8.765751684569,-9.02320324695981,0.321240725159367,0.336582827844797,0.793492047615872,0.981464212286928,62,0.179595838335334,0.373316227716716,-10.4618043019158,-0.2278887195575,-0.332223314053704,0.999864795005368,-3.02418291462505,-0.0905096679918781,-0.0339411254969544
5,5,7,SHORT,raxml,40,NA,0,125735,0_0_0,EXT,REF,0.404188,2.03411107550765,0.0857100542440488,0.0507650659505038,0.20166872577389,63.8125,32.2626562663663,-8.80896008626515,-9.03891341163476,0.376153669631054,0.427092495836675,0.80447463651021,1.04368960903134,64,0.213001200480192,0.402599650927315,-8.71032310330813,-0.172975775085813,-0.321240725159367,1,-3.12936242144614,0,0.0282842712474618
6,6,5,SHORT,raxml,40,0.5,0,125112,43_0_0,INT,REF,0.0965038,1.75148493448732,0.0837715532847473,0.0482351526241221,0.173602155954376,58.8958333333333,32.6198214009052,-9.4708643083962,-9.81583048290158,0.156501891744307,0.17819090885901,0.584822858623463,0.857013418798096,66,0.271740696278511,0.452866927714621,-13.5063602709944,-0.376153669631054,-0.535401208598945,0.990617354331457,-3.65862699372449,-0.231931024229188,-0.152735064736294
7,7,8,SHORT,raxml,40,NA,0,123693,25_0_0,INT,REF,0.115377,1.28559029447698,0.0751716318625084,0.0451811960277212,0.127710273966047,72.7291666666667,29.3052457604098,-9.50668204479632,-9.85517893040102,0.200432247321656,0.209303607231218,0.612279330859306,0.854184991673349,56,0.201748699479792,0.362560006046688,-15.0263092536793,-0.181212716756566,-0.406355789090481,0.993909249423468,-4.64343736947295,-0.045254833995939,-0.0509116882454315
8,8,6,SHORT,raxml,40,0.5,0,121749,0_0_0,EXT,REF,0.385973,1.79117209218849,0.0825795212663185,0.0487253701849595,0.177531541112365,52.3541666666667,33.9006618797705,-9.03100950133831,-9.36204145876081,0.277310369582018,0.282842712474619,0.744070397591354,0.916410388417766,64,0.103385354141657,0.350820628891544,-12.9934663577406,-0.074132475036777,-0.244362602899006,0.985263413449866,-4.39052655955708,0.05939696961967,0.0424264068711928
9,9,6,SHORT,raxml,40,0.5,0,121442,28_0_0,INT,REF,0.104946,1.7575568961772,0.0957680910526272,0.0480773812865626,0.174204095672523,61.2291666666667,29.904272507192,-9.16005792931094,-9.48900821064348,0.293784252923524,0.305470129472589,0.793492047615872,0.95035151391472,70,0.11109243697479,0.376463493758445,-14.6556380341028,-0.057658591695271,-0.194940952874488,0.982778991664644,-4.50100881567426,0.0820243866176395,0.0763675323681471
10,10,6,SHORT,raxml,40,0.75,0,121340,0_0_0,EXT,REF,0.385973,1.79322546337912,0.0731828518927419,0.0487063307146959,0.177732612722225,53.5416666666667,34.5782851139041,-9.03163307946693,-9.36214885252203,0.282801664029186,0.288499566724111,0.749561692038523,0.922067242667258,68,0.143205282112845,0.383058900091983,-13.8015706127216,-0.0686411805896083,-0.238871308451837,0.981953548595938,-4.39443602238023,0.0650538238691624,0.0480832611206852
