,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps
1,1,2,raxml,40,0.25,0,EXT,REF,0.30215060795878,0.0668664845474306,0.00572474098725284,0.0308112435193641,25.375,30.6237461749413,-3.08052289153401,4.10189218647613,0.609533683635722,0.743876333808248,0.922537467124336,1.25299321626256,OUTFILE_s2_q40_miss0.25_maf0_EXT.noInv.phy,225626
2,2,1,raxml,40,0.25,0,EXT,REF,0.224601652907639,0.0516784984119175,0.00454330884177478,0.0230769033919399,26.6666666666667,27.9865722615392,-3.15030132407149,0.565899417249336,0.453031791891415,0.576999133448223,0.892335347664908,1.10308657865101,OUTFILE_s1_q40_miss0.25_maf0_EXT.noInv.phy,229016
3,3,2,raxml,40,0.5,0,EXT,REF,0.226053540835246,0.0133648175404088,0.00433003654777968,0.0230664543829354,26.7083333333333,28.7557271508065,-2.57944681997715,1.60859136735241,0.469505675232921,0.707106781186547,0.798983342063041,1.22188051789035,OUTFILE_s2_q40_miss0.50_maf0_EXT.noInv.phy,170541
4,4,1,raxml,40,0.5,0,EXT,REF,0.166051030154282,0.0365892294961862,0.00343685286685399,0.0170812297755731,25.375,27.2862095946387,-3.49028042028578,4.35768006468563,0.612279330859306,0.741047906683502,1.01863511994979,1.22753737213985,OUTFILE_s1_q40_miss0.50_maf0_EXT.noInv.phy,172524
5,5,2,raxml,40,0.75,0,EXT,REF,0.188536154848419,0.0134057655788154,0.00342928965264016,0.0193093957346028,25.7083333333333,29.1933818886968,-1.02247656099532,2.82443629522386,0.573840269729126,0.800444876303172,0.870370169876234,1.29259119600901,OUTFILE_s2_q40_miss0.75_maf0_EXT.noInv.phy,124885
6,6,1,raxml,40,0.75,0,EXT,REF,0.0975695309840193,0.0204096181079156,0.00195586228130498,0.0100717783466729,34.625,27.825156993306,-3.91818717954786,2.60567261197441,0.417338377984819,0.47517575695736,0.757798633709276,1.04651803615609,OUTFILE_s1_q40_miss0.75_maf0_EXT.noInv.phy,120308
7,7,2,raxml,40,0.9,0,EXT,REF,0.19779622331646,0.0152651552604408,0.00314004641879756,0.0199390715783744,24.75,25.248130328925,-1.24776944617181,5.05263271242165,0.604042389188553,0.780645886429948,0.917046172677167,1.31804704013172,OUTFILE_s2_q40_miss0.90_maf0_EXT.noInv.phy,78210
8,8,1,raxml,40,0.9,0,EXT,REF,0.0657423111086082,0.0139532959391004,0.00118407587009474,0.0067378305599672,32.1041666666667,28.9322315907829,-4.12483496074949,4.7719315586941,0.653464039213071,0.675994082814339,1.03785465051488,1.21339523651612,OUTFILE_s1_q40_miss0.90_maf0_EXT.noInv.phy,72123
9,9,3,raxml,40,0.25,0,EXT,REF,0.25829699658485,0.0200688925364291,0.00527405920839674,0.0264615416922549,29.0416666666667,31.3382088405405,-0.952561924316081,-0.51968621343257,0.194940952874488,0.698621499812309,0.507944736363102,1.23036579926459,OUTFILE_s3_q40_miss0.25_maf0_EXT.noInv.phy,237484
10,10,3,raxml,40,0.5,0,EXT,REF,0.202418653692482,0.00903273191314215,0.00424725981302404,0.0208531968514698,32,29.5130695895182,-0.932260232034512,-0.520221825498582,0.241616955675421,0.845699710299111,0.505199089139517,1.32653232150596,OUTFILE_s3_q40_miss0.50_maf0_EXT.noInv.phy,179360
11,11,2,raxml,40,0,0.01,EXT,REF,0.570986105350237,0.0944909971095599,0.00919396685558074,0.0575249919630676,24.9375,30.9030097343009,-1.73414136870081,2.85541696414789,0.461268733562168,0.579827560572969,0.812711578180963,1.13985613127271,OUTFILE_s2_q40_miss0_maf0.01_EXT.noInv.phy,385559
12,12,1,raxml,40,0,0.01,EXT,REF,0.541043701049386,0.10318047000016,0.00880749100625883,0.0545129697235714,24.7916666666667,29.2123249516024,-3.59154697119837,2.59357786700901,0.587568505847047,0.707106781186547,0.982941706043191,1.19925310089238,OUTFILE_s1_q40_miss0_maf0.01_EXT.noInv.phy,450787
13,13,2,raxml,40,0,0,EXT,REF,0.570986105350237,0.0944909971095599,0.00919396685558074,0.0575249919630676,24.9375,30.9030097343009,-1.73414136870081,2.85541696414789,0.461268733562168,0.579827560572969,0.812711578180963,1.13985613127271,OUTFILE_s2_q40_miss0_maf0_EXT.noInv.phy,385559
14,14,3,raxml,40,0.75,0,EXT,REF,0.145629036320357,0.00684504485026124,0.00290514882160855,0.0148359638038813,33.1875,34.0754208853044,-1.91829149061433,-0.0178075973357888,0.302021194594277,0.661851947190608,0.604042389188553,1.1879393923934,OUTFILE_s3_q40_miss0.75_maf0_EXT.noInv.phy,131122
15,15,1,raxml,40,0,0,EXT,REF,0.541043701049386,0.10318047000016,0.00880749100625883,0.0545129697235714,24.7916666666667,29.2123249516024,-3.59154697119837,2.59357786700901,0.587568505847047,0.707106781186547,0.982941706043191,1.19925310089238,OUTFILE_s1_q40_miss0_maf0_EXT.noInv.phy,450787
16,16,2,raxml,40,0.25,0.01,EXT,REF,0.30215060795878,0.0668664845474306,0.00572474098725284,0.0308112435193641,25.375,30.6237461749413,-3.08052289153401,4.10189218647613,0.609533683635722,0.743876333808248,0.922537467124336,1.25299321626256,OUTFILE_s2_q40_miss0.25_maf0.01_EXT.noInv.phy,225626
