,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin
1,1,5,raxml,40,0.25,0,EXT,REF,0.269572119248062,0.269572119248062,0.00322286348045675,0.0269248669655319,38.0416666666667,32.9008557952029,-1.84020391083854,-1.84020391083854,0.428320966879156,0.428320966879156,0.807220283733794,0.807220283733794
2,2,5,raxml,40,0,0,EXT,REF,0.3668475845215,0.3668475845215,0.00412955397077567,0.0366511410681878,36.1458333333333,33.1861221849399,-1.94802769492267,-1.94802769492267,0.502453441915933,0.502453441915933,0.864878875429065,0.864878875429065
3,3,5,raxml,40,0.5,0,EXT,REF,0.260704134982955,0.260704134982955,0.00316463884354169,0.0260378214688722,34.6666666666667,32.6700678501489,-2.13605701475458,-2.13605701475458,0.485979558574427,0.485979558574427,0.84291369764039,0.84291369764039
4,4,5,raxml,40,0.9,0,EXT,REF,0.252561306743102,0.252561306743102,0.00307180680942256,0.0252217743712335,29.6458333333333,25.4420405840022,-1.97928610195384,-1.97928610195384,0.529909914151776,0.529909914151776,0.859387580981896,0.859387580981896
5,5,5,raxml,40,0.75,0,EXT,REF,0.262549605605665,0.262549605605665,0.00319961796599009,0.0262189940261063,33.6875,31.812051944761,-1.97670764304368,-1.97670764304368,0.414592730761234,0.414592730761234,0.80447463651021,0.80447463651021
6,6,8,raxml,40,0.25,0,EXT,REF,0.22449517282408,0.22449517282408,0.00258664913524702,0.0224318915158454,13.5,17.3192796272972,-1.96206017427678,-1.96206017427678,0.768781222603613,0.768781222603613,1.04883723940922,1.04883723940922
7,7,8,raxml,40,0,0,EXT,REF,0.219064227490973,0.219064227490973,0.00246805689925822,0.0218905431753905,15,17.7104368796505,-0.626586014876682,-0.626586014876682,0.749561692038523,0.749561692038523,1.01863511994979,1.01863511994979
8,8,8,raxml,40,0.5,0,EXT,REF,0.243377350276286,0.243377350276286,0.00273868986310328,0.0243204253777918,13.625,18.5008625445847,-1.40297198698139,-1.40297198698139,1.0515828866328,1.0515828866328,1.32614760899123,1.32614760899123
9,9,8,raxml,40,0.75,0,EXT,REF,0.264948241451868,0.264948241451868,0.0030413977008733,0.0264771899310505,12.5625,17.5679910209061,-0.78998269426906,-0.78998269426906,0.332223314053704,0.332223314053704,0.496962147468764,0.496962147468764
10,10,8,raxml,40,0.9,0,EXT,REF,8.97003463147521,8.97003463147521,0.0904275513997631,0.89693517158445,11.9375,19.4109053029695,0.217524313023994,0.217524313023994,0.293784252923524,0.293784252923524,0.51343603081027,0.51343603081027
