,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,std.gamma,std.ingroup.gamma,colless,std.colless,std.ingroup.colless,sackin,std.sackin,std.ingroup.sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf
1,1,SHORT,raxml,40,0.25,0.01,EXT,REF,0_0_0,NA,NA,NA,-13.0121016699882,-20.202097041259,-11.4474929367046,0.276837079652482,-125,-26,699,-263,-10,0.193525135313698,0.0606054478843529,0.0440165275465447,146,-12.9389883619557,0.221,637,30.7040816326531,26.5249189136312,370616.283156908
2,1,SHORT,raxml,40,0.25,0.02,EXT,REF,0_0_0,NA,NA,NA,-12.8046701586365,-13.8413501319031,-11.856312633369,0.287674118357739,-113,77,909,-131,65,0.188203649516854,0.0798181927104196,0.0578291241781378,156,-12.5907733724365,0.29,808,27.7857142857143,25.9155050512595,370613.508866385
3,1,SHORT,raxml,40,0.25,0.03,EXT,REF,0_0_0,NA,NA,NA,-12.994386585398,-3.48101006154359,-0.125148280883042,0.284718562347215,-31,186,697,-171,136,0.199786052581907,0.0892558812039436,0.064105429869097,166,-12.4660127916716,0.28,686,26.1224489795918,25.8900392047433,370612.262181248
4,1,SHORT,raxml,40,0.25,0.04,EXT,REF,0_0_0,NA,NA,NA,-12.6684048650231,-9.76059126754119,-11.467676383371,0.311318566441937,-78,57,710,-240,45,0.199786871883285,0.0956559313264311,0.0680746751156345,156,-12.3935735371291,0.268,660,27.8775510204082,26.8659387720887,370611.034440272
5,1,SHORT,raxml,40,0.25,0.05,EXT,REF,0_0_0,NA,NA,NA,-12.5978222960823,3.65431058211022,-11.5649018020089,0.405896358778728,-80,100,822,-128,68,0.19877234444254,0.101737537198199,0.0728160045043026,158,-12.3507035673146,0.313,811,26.8775510204082,25.5356089784331,370610.184831285
6,1,SHORT,raxml,40,0.25,0.1,EXT,REF,0_0_0,NA,NA,NA,-12.5999250469661,-11.1949056034147,-11.5222328932055,0.291614859705106,-103,-24,690,-271,-12,0.269118066616085,0.120723258273441,0.08282288261897,164,-12.3932741055893,0.244,636,26.7448979591837,25.4166562907041,370608.027718118
7,1,SHORT,raxml,40,0.25,0,EXT,REF,0_0_0,NA,NA,NA,-13.1429135019447,-22.9714584606805,-10.8006438772148,0.274866708978799,-104,-19,721,-236,-7,0.260513534382873,0.0464715061455668,0.036216158319736,142,-13.0677658042418,0.227,687,30.8979591836735,27.0335758381361,370618.409492885
8,1,SHORT,raxml,40,0.5,0.01,EXT,REF,0_0_0,NA,NA,NA,-12.0279329043616,-15.7227891135407,-4.09652548832605,0.530029711220766,68,239,990,-36,169,0.177333744249402,0.0624046227669449,0.0456498778141521,148,-11.2415127431945,0.454,896,26.6122448979592,24.5229253788222,370615.959601477
9,1,SHORT,raxml,40,0.5,0.02,EXT,REF,0_0_0,NA,NA,NA,-13.1182474686545,-2.50511375769547,-5.78064459202128,0.361563018620857,39,265,749,-119,177,0.165176384890841,0.0822086125250099,0.0603272657474287,168,-12.2342216087119,0.35,738,24.6734693877551,24.9340472356695,370613.223626718
10,1,SHORT,raxml,40,0.5,0.03,EXT,REF,0_0_0,NA,NA,NA,-13.0488466685353,-7.81106063486202,-9.9723104480057,0.395059320073471,-35,109,821,-163,69,0.179065908165787,0.0906762605473078,0.066041720977215,162,-12.5141243721447,0.334,752,23.2448979591837,23.9100812213196,370611.994970092
