,tree.num,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,avg_dxy,mean.support,sd.support,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.gamma,std.ingroup.colless,std.ingroup.sackin,ml.tree
1,1,21,SHORT,astral,40,0.75,0,EXT,REF,0_0_0,0.462448,0.936666666666667,0.158937072163172,0.260836486240512,0.548714862200761,0.579331564176294,1.09742972440152,0.0471565759421653,0.00424969987995198,0.0403854495448967,0,-0.378899316854638,-0.609533683635722,0,0,0.0282842712474619,0.0169705627484771,61
2,2,21,SHORT,astral,40,0.75,0,INT,REF,44_0_0,0.0379769,0.932708333333333,0.144188699993008,0.260836486240512,0.531744299452284,0.628753214200812,1.08611601590254,0.0261186864654935,0.00166866746698679,0.0227798637958235,0,-0.378899316854638,-0.560112033611204,0,0,0.0113137084989848,0.00565685424949236,61
3,3,22,SHORT,astral,40,0.75,0,INT,REF,43_0_0,0.0440077,0.934166666666667,0.151191485369471,0.238871308451837,0.288499566724111,0.744070397591354,0.916410388417766,0.0363604038312702,0.00142857142857143,0.0384623470576282,0,-0.167484480638644,-0.282801664029186,0,0,0.00848528137423854,0.00282842712474618,62
4,4,21,SHORT,astral,40,0.5,0,EXT,REF,0_0_0,0.462448,0.939375,0.170760579560726,0.244362602899006,0.531744299452284,0.568348975281957,1.08611601590254,0.0522631687461549,0.00579831932773109,0.0386982106067851,0,-0.395373200196144,-0.620516272530059,0,0,0.0113137084989848,0.00565685424949236,61
5,5,21,SHORT,astral,40,0.5,0,INT,REF,44_0_0,0.0379769,0.92625,0.159875283840182,0.244362602899006,0.514773736703807,0.623261919753644,1.08045916165304,0.0484421591321463,0.00579831932773109,0.0417739850660489,0,-0.395373200196144,-0.565603328058373,0,0,-0.00565685424949236,0,61
6,6,21,SHORT,astral,40,0,0,EXT,REF,0_0_0,0.462448,0.933125,0.173795627714756,0.252599544569759,0.540229580826522,0.571094622505541,1.08894444302728,0.0625068959209518,0.0063625450180072,0.0495517920959353,0,-0.387136258525391,-0.617770625306475,0,0,0.0197989898732234,0.00848528137423865,61
7,7,21,SHORT,astral,40,0.25,0,EXT,REF,0_0_0,0.462448,0.935,0.168434594920276,0.252599544569759,0.540229580826522,0.571094622505541,1.08894444302728,0.0625068959209518,0.0063625450180072,0.0495517920959353,0,-0.387136258525391,-0.617770625306475,0,0,0.0197989898732234,0.00848528137423865,61
8,8,21,SHORT,astral,40,0.25,0,INT,REF,44_0_0,0.0379769,0.928125,0.16195161150197,0.252599544569759,0.523259018078045,0.626007566977228,1.08328758877779,0.087410216367348,0.0137575030012005,0.052090606582676,0,-0.387136258525391,-0.562857680834788,0,0,0.00282842712474629,0.00282842712474629,61
9,9,22,SHORT,astral,40,0.75,0,EXT,REF,0_0_0,0.375802,0.928333333333333,0.165713586974036,0.241616955675421,0.288499566724111,0.74132475036777,0.916410388417766,0.0280544823701025,0.00114045618247299,0.0295533358846148,0,-0.16473883341506,-0.285547311252771,0,0,0.00848528137423854,0.00282842712474618,62
10,10,21,SHORT,astral,40,0,0,INT,REF,44_0_0,0.0379769,0.927916666666667,0.160914386293806,0.244362602899006,0.514773736703807,0.623261919753644,1.08045916165304,0.099265729278791,0.0173229291716687,0.0600848648136341,0,-0.395373200196144,-0.565603328058373,0,0,-0.00565685424949236,0,61
