sim ils_level int taxa_ref avg_dist
10 SHORT EXT 0_0_0 0.214113
10 SHORT INT 87_0_0 0.0842196
1 SHORT INT 4_0_0 0.081498
1 SHORT EXT 0_0_0 0.236412
2 SHORT INT 19_0_0 0.0839863
2 SHORT EXT 0_0_0 0.203375
3 SHORT EXT 0_0_0 0.216552
3 SHORT INT 20_0_0 0.0888225
4 SHORT EXT 0_0_0 0.196023
4 SHORT INT 63_0_0 0.0862539
5 SHORT EXT 0_0_0 0.20664
5 SHORT INT 7_0_0 0.0861873
6 SHORT INT 92_0_0 0.0864245
6 SHORT EXT 0_0_0 0.206404
8 SHORT EXT 0_0_0 0.219599
8 SHORT INT 80_0_0 0.082252
9 SHORT INT 55_0_0 0.0913137
9 SHORT EXT 0_0_0 0.197527
1 MED EXT 0_0_0 0.227683
1 MED INT 76_0_0 0.0667363
3 MED INT 90_0_0 0.0608137
2 MED EXT 0_0_0 0.239542
2 MED INT 94_0_0 0.0641196
3 MED EXT 0_0_0 0.276682
7 MED EXT 0_0_0 0.215769
7 MED INT 44_0_0 0.0636431
8 MED EXT 0_0_0 0.208936
9 MED INT 31_0_0 0.0616863
8 MED INT 25_0_0 0.0634843
6 MED INT 30_0_0 0.0644578
6 MED EXT 0_0_0 0.214579
9 MED EXT 0_0_0 0.22755
10 MED EXT 0_0_0 0.248712
10 MED INT 20_0_0 0.0634275
4 MED INT 11_0_0 0.0715745
4 MED EXT 0_0_0 0.225828
5 MED INT 45_0_0 0.0645814
6 SHORT INT 39_0_0 0.0839853
7 SHORT EXT 0_0_0 0.20514
5 MED EXT 0_0_0 0.259699
1 LONG EXT 0_0_0 0.289623
1 LONG INT 47_0_0 0.0372824
2 LONG INT 39_0_0 0.0365275
2 LONG EXT 0_0_0 0.368506
3 LONG EXT 0_0_0 0.25545
3 LONG INT 1_0_0 0.0393167
4 LONG INT 88_0_0 0.0372461
4 LONG EXT 0_0_0 0.303242
5 LONG INT 13_0_0 0.0394569
5 LONG EXT 0_0_0 0.298059
6 LONG INT 91_0_0 0.0384912
6 LONG EXT 0_0_0 0.298259
7 LONG INT 58_0_0 0.0360363
7 LONG EXT 0_0_0 0.370688
1 MED INT 90_0_0 0.0659118
10 LONG INT 70_0_0 0.0379824
3 MED INT 40_0_0 0.0617755
10 SHORT INT 85_0_0 0.0824049
3 MED EXT 0_0_0 0.27486
9 LONG INT 97_0_0 0.0386755
6 SHORT INT 55_0_0 0.0841922
10 LONG EXT 0_0_0 0.281117
8 LONG EXT 0_0_0 0.30434
9 LONG EXT 0_0_0 0.286692
8 LONG INT 38_0_0 0.0366873
2 MED INT 93_0_0 0.0663422
10 SHORT EXT 0_0_0 0.214544
3 SHORT EXT 0_0_0 0.216089
4 MED INT 45_0_0 0.0704833
4 MED EXT 0_0_0 0.222528
10 MED INT 54_0_0 0.0604225
9 SHORT INT 63_0_0 0.0905216
8 MED EXT 0_0_0 0.210518
9 MED EXT 0_0_0 0.226602
10 MED EXT 0_0_0 0.246716
8 MED INT 61_0_0 0.0646873
5 MED INT 2_0_0 0.0680922
8 SHORT EXT 0_0_0 0.218569
9 MED INT 55_0_0 0.0596186
9 SHORT EXT 0_0_0 0.19916
8 SHORT INT 100_0_0 0.080851
1 LONG EXT 0_0_0 0.289107
1 LONG INT 43_0_0 0.0377676
2 LONG EXT 0_0_0 0.370018
2 LONG INT 30_0_0 0.0357245
3 LONG EXT 0_0_0 0.252733
5 LONG EXT 0_0_0 0.29964
5 LONG INT 84_0_0 0.0412157
6 LONG INT 32_0_0 0.038549
6 LONG EXT 0_0_0 0.29919
7 SHORT EXT 0_0_0 0.204006
7 SHORT INT 80_0_0 0.0848539
