,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,std.gamma,std.ingroup.gamma,colless,std.colless,std.ingroup.colless,sackin,std.sackin,std.ingroup.sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf
1,5,SHORT,raxml,40,0.25,0.01,INT,REF,63_0_0,NA,35642,0.83731529118801,-13.2852386501115,-18.8225557602843,-8.51078959633177,0.184229657989374,-259,55,631,-303,85,0.161658060886259,0.0750504224526103,0.0568565848208126,146,-12.9160289883172,0.187,627,44.5408163265306,28.9902821852843,424311.791014069
2,5,SHORT,raxml,40,0.25,0.02,INT,REF,63_0_0,NA,29323,0.688866962670613,-14.0369513086889,-9.72708265397273,0.0547466083810815,0.471903776347114,-62,134,977,-50,146,0.168092551326015,0.0874157705253879,0.0663382247162287,152,-13.2571325559074,0.48,974,38.7448979591837,30.2730907779039,424309.754206627
3,5,SHORT,raxml,40,0.25,0.03,INT,REF,63_0_0,NA,26300,0.617849507834708,-13.7247307007056,-19.9734962725437,-9.70341478419279,0.171422248610434,-282,-37,530,-416,1,0.213459324701669,0.095031925174821,0.0717960308498099,150,-13.5823020625661,0.173,525,41.7755102040816,31.2731664603803,424308.610637944
4,5,SHORT,raxml,40,0.25,0.04,INT,REF,63_0_0,NA,24214,0.568844409988959,-13.6601768108803,-19.5332088915994,-10.3137072143622,0.187185213999899,-268,-11,543,-400,25,0.225124163052337,0.100735321287292,0.0751278490541032,164,-13.5068536493093,0.181,537,39.8469387755102,31.697459015796,424308.214796989
5,5,SHORT,raxml,40,0.25,0.05,INT,REF,63_0_0,NA,22594,0.530786759696478,-13.5280568015083,-18.8937317060308,-7.52411066190498,0.497518595104995,-114,66,975,-132,76,0.242371024095144,0.1068043689398,0.080281954995116,152,-13.171824442378,0.415,883,41.7959183673469,30.6223956801088,424306.675318402
6,5,SHORT,raxml,40,0.25,0.1,INT,REF,63_0_0,NA,16953,0.398266262597787,-13.326291991781,-17.5118746633267,-6.43006302413901,0.211814847420938,-258,-8,593,-366,18,0.291146149293946,0.128143355405792,0.093564268622146,168,-13.104491552222,0.198,576,34.0816326530612,29.7736039843043,424304.205877766
7,5,SHORT,raxml,40,0.5,0.01,INT,REF,63_0_0,NA,35592,0.836140672351822,-13.6908144931471,-19.7206245157286,-9.09083951932911,0.48865192707342,-128,56,982,-128,80,0.166675278730296,0.0755164489211077,0.0574426351656274,152,-13.5934987029236,0.405,889,41.5816326530612,30.447833863802,424311.644704444
8,5,SHORT,raxml,40,0.5,0.02,INT,REF,63_0_0,NA,29273,0.687692343834426,-13.7555446335666,-19.6321673761777,-11.048570031587,0.412792656136619,-215,-27,841,-185,13,0.190889175536169,0.0868599070360302,0.0659727604152819,156,-13.6331035024182,0.323,837,36.3469387755102,30.3912976016777,424310.068113879
9,5,SHORT,raxml,40,0.5,0.03,INT,REF,63_0_0,NA,26253,0.616745366128691,-13.2102950056303,-19.3557188692363,-8.8155044900064,0.245311148873552,-207,19,669,-277,29,0.214124061053034,0.0950407649844861,0.0721073929410039,166,-12.9429121745462,0.248,664,40.1122448979592,32.9741800435986,424308.904323587
10,5,SHORT,raxml,40,0.5,0.04,INT,REF,63_0_0,NA,24167,0.567740268282942,-13.5784506121436,-16.1896550632756,-5.96289035341301,0.480770444378688,-49,142,974,-51,150,0.218050672331533,0.101249646040019,0.0756397462445603,168,-13.1648362496471,0.488,970,38.5510204081633,30.2283823920635,424308.153834939
