,tree.num,simulation,height,method,quality,missing,maf,sites,taxa_ref,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,avg_dxy,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites
379,379,10,MED,raxml,40,1,0.01,32859,22_0_0,INT,REF,0.130274065141097,0.185687629780226,0.0568060085409937,0.038305297904461,64.0612244897959,30.2460072602352,-12.5915255270126,-12.0882440942292,0.276837079652482,0.365,0.658103805010171,0.877,NA,118,0.0383822872083127,0.258254663012633,-20.6468621041755,-0.223637071463037,-0.333977829189293,0.270524599881446
380,380,10,MED,raxml,40,1,0.02,23997,22_0_0,INT,REF,0.151632073996575,0.203238594737097,0.0694909544128705,0.0461862081500467,65.7448979591837,30.1519557842994,-12.4689555386591,-11.9315540938262,0.435451918883975,0.359,0.86400754041006,0.873,NA,120,0.0431210467985574,0.269781651635063,-19.1493260196306,-0.149748171199919,-0.0472888961683955,0.197564710531516
381,381,10,MED,raxml,40,1,0.03,19784,22_0_0,INT,REF,0.171127227148319,0.225628078208908,0.0779996240472088,0.052165162446142,62.5816326530612,30.5940912930787,-12.3689642121392,-11.7750345825644,0.447274142926074,0.371,0.937896440673178,0.877,NA,114,0.0457539631514172,0.266191492346548,-19.9904769996102,-0.0660074175683854,-0.0541851935262865,0.16287953632352
382,382,10,MED,raxml,40,1,0.04,17433,22_0_0,INT,REF,0.187370313493675,0.305314626983029,0.0846585409494362,0.0565624356379297,62.6224489795918,31.4798300032489,-12.2809896583019,-11.6771682015579,0.448259328262916,0.372,0.936911255336336,0.876,NA,124,0.0482487432416711,0.290981278308579,-19.6415417379454,-0.136940761820979,-0.12511853777888,0.143524007113219
383,383,10,MED,raxml,40,1,0.05,15725,22_0_0,INT,REF,0.206414258660692,0.208029076335432,0.0903584244809185,0.0598652748180318,62.0918367346939,31.1332641857494,-12.2333573432081,-11.6427588393372,0.464022293652381,0.377,0.956614962073168,0.885,NA,130,0.0453304922328968,0.294241465606349,-19.8650830081197,-0.060096305547336,-0.0463037108315539,0.129462227491273
384,384,10,MED,raxml,40,1,0.1,11588,22_0_0,INT,REF,0.269694566927691,0.352725805446696,0.110518473030854,0.072848033557313,58.8061224489796,31.4700506170632,-11.982261045188,-11.3176439589384,0.456140810957648,0.38,0.947748294041594,0.876,NA,140,0.0475193641813161,0.306912430579711,-20.0046517269879,-0.0463037108315539,-0.055170378863128,0.0954027530791016
385,385,10,MED,raxml,40,1,0,120136,22_0_0,INT,REF,3.66696674364007,0.0849672338373734,0.0469081297889497,0.258102536918167,64.265306122449,29.7344088992153,-12.711354318773,-12.9434026333733,0.309348195768254,0.268,0.763518636052219,0.782,NA,114,0.0516289179938402,0.251511772223714,-12.8001170975694,-0.203933364726206,-0.227577812810403,0.989066719357176
386,386,7,MED,raxml,40,0.25,0.01,33571,42_0_0,INT,REF,0.125236765483382,0.11685323825891,0.0565986543553615,0.0379918178932467,72.0204081632653,27.715037264152,-12.8957726290421,-12.1925894159446,0.405896358778728,0.313,0.931985328652128,0.845,NA,106,0.0374961577790432,0.25090284462823,-20.7398721357797,-0.130044464463088,0.0137925947157821,0.272542763665295
387,387,7,MED,raxml,40,0.25,0.02,24433,42_0_0,INT,REF,0.135796258774455,0.148452034485642,0.0692521213084164,0.0458301873046371,65.8469387755102,31.3945139474433,-12.7305280150959,-11.9511509342864,0.370429686652432,0.314,0.752681597346962,0.844,NA,120,0.0350288090033493,0.251226206119587,-12.9269111478988,-0.066992602905227,-0.224622256799879,0.198356836097648
388,388,7,MED,raxml,40,0.25,0.03,20408,42_0_0,INT,REF,0.153393563688847,0.168767257156599,0.0770154476753236,0.0508922615789574,69.3265306122449,28.3227989145622,-12.5767772267857,-11.7628466269713,0.38225191069453,0.324,0.81376308823114,0.846,NA,114,0.0355010194897041,0.242764716542577,-20.4892753200455,-0.116251869747306,-0.104429645705207,0.165680281221332
389,389,7,MED,raxml,40,0.25,0.04,17979,42_0_0,INT,REF,0.166641389114601,0.180513770829184,0.0831359847518791,0.0546592325964352,70.1632653061225,29.5057897088225,-12.4472294256626,-11.5793168536773,0.307377825094571,0.343,0.75169641201012,0.861,NA,116,0.0369830452432998,0.243342499118445,-13.9480141101014,-0.0916222363262663,-0.166496321926226,0.145960690713364
390,390,7,MED,raxml,40,0.25,0.05,16272,42_0_0,INT,REF,0.180114750189916,0.193958079478862,0.0888369937295592,0.0578493170268713,67.9183673469388,30.5447697344686,-12.4525895802107,-11.5944907800603,0.287674118357739,0.323,0.739874187968022,0.849,NA,120,0.0390462719741362,0.257158455875171,-19.4817995145507,-0.111325943063098,-0.214770403431463,0.132102584086315
391,391,7,MED,raxml,40,0.25,0.1,11847,42_0_0,INT,REF,0.232840609876025,0.238269656867858,0.108931152702111,0.0700428840294798,65.8571428571429,30.999833720871,-11.8861569120931,-11.032989222915,0.429540806862926,0.371,0.839377906989021,0.869,NA,118,0.0465428583674694,0.261976810073829,-10.7948129234781,-0.0078814826947326,-0.0788148269473258,0.0961786697191846
392,392,7,MED,raxml,40,0.25,0,118857,42_0_0,INT,REF,2.68593850183034,0.104955607921272,0.0415036446034847,0.189030150876208,68.4183673469388,28.2375502972815,-12.7355529057692,-12.9675874665475,0.362548203957699,0.269,0.84528901901007,0.795,NA,108,0.0365843114923737,0.249000048137925,-15.8371422334258,-0.0748740855999596,-0.0354666721262966,0.964928517499208
393,393,7,MED,raxml,40,0.5,0.01,33527,42_0_0,INT,REF,0.125265982693929,0.116755776024775,0.0566044084043966,0.0380572262026208,67.6632653061225,28.6845422928002,-12.8872487523986,-12.1941514560771,0.379296354684006,0.321,0.812777902894298,0.847,NA,112,0.0384702143683756,0.24395712144044,-20.7626273390645,-0.11920742575783,-0.105414831042048,0.272185554121305
394,394,7,MED,raxml,40,0.5,0.02,24389,42_0_0,INT,REF,0.135758826290961,0.148428225902327,0.0692099722823105,0.0457769219249058,69.3367346938775,30.3712234519804,-12.7100785196869,-11.943823425836,0.381266725357689,0.322,0.759577894704853,0.848,NA,114,0.0368005780169854,0.25080800619232,-20.8768844308159,-0.0561555641999697,-0.0995037190209989,0.197999626553659
395,395,7,MED,raxml,40,0.5,0.03,20369,42_0_0,INT,REF,0.153317734143337,0.168644028404756,0.0770150569686554,0.0508176180618835,63.6326530612245,32.4111434811344,-12.5503123191775,-11.7241236135619,0.399985246757679,0.341,0.829526053620605,0.859,NA,112,0.0377682666225806,0.246406915900418,-20.6435189168536,-0.0374370427999798,-0.147777800526236,0.165363663670978
396,396,7,MED,raxml,40,0.5,0.04,17943,42_0_0,INT,REF,0.16650466246808,0.180737207649837,0.0832014499238979,0.0548857175447838,70.265306122449,28.1350026044926,-12.4333610220206,-11.5619894542661,0.405896358778728,0.347,0.833466794967971,0.863,NA,124,0.0371696761512886,0.247267703644079,-20.4929546685406,-0.0315259307789303,-0.0847259389683753,0.14566842835919
397,397,7,MED,raxml,40,0.5,0.05,16238,42_0_0,INT,REF,0.179830254458944,0.194254897178364,0.0888218846604363,0.0577937612333112,67.6224489795918,29.3480764947325,-12.4383587245443,-11.5624832782148,0.297525971726155,0.333,0.745785299989071,0.855,NA,118,0.0388963794338618,0.255742039416654,-12.9471246707663,-0.101474089694682,-0.172407433947275,0.131826558529596
398,398,7,MED,raxml,40,0.5,0.1,11815,42_0_0,INT,REF,0.231320095249629,0.23990927359183,0.109020877963671,0.0704412929479757,67.4897959183673,29.2053677095616,-11.9759836913292,-11.1041273080902,0.333977829189293,0.352,0.773370489420635,0.864,NA,122,0.0356883851650471,0.238292032843199,-19.674132358192,-0.0423629694841877,-0.203933364726206,0.0959188809599195
399,399,7,MED,raxml,40,0.5,0,118813,42_0_0,INT,REF,2.69984174746044,0.0943743243802209,0.0416506097845302,0.190003474597573,64.1020408163265,31.5730179062702,-13.0503200355473,-13.2592242148244,0.247281519547235,0.188,0.769429748073269,0.736,NA,104,0.0230981465493488,0.236331108392793,-17.7883362878851,-0.134970391147296,-0.174377804620958,0.964571307955219
400,400,7,MED,raxml,40,0.75,0.01,33418,42_0_0,INT,REF,0.123815706616122,0.116931984012706,0.0565291248968534,0.0378832211686873,67.8979591836735,30.601694514068,-12.87122802416,-12.166839507434,0.323140790484036,0.329,0.937896440673178,0.851,NA,106,0.0374954230116889,0.238429184161507,-21.1247459567749,-0.0157629653894652,-0.0768444562736427,0.271300648660058
401,401,7,MED,raxml,40,0.75,0.02,24307,42_0_0,INT,REF,0.1349420423305,0.148558359078985,0.0692119401828925,0.0458103929356637,70.9897959183673,26.9969432778912,-12.690755084586,-11.9067812127969,0.330037087841927,0.332,0.828540868283763,0.858,NA,118,0.0386345573332844,0.253246925253652,-20.6752276619159,-0.107385201715732,-0.0896518656525831,0.197333917858042
402,402,7,MED,raxml,40,0.75,0.03,20292,42_0_0,INT,REF,0.152528490721177,0.168077359400906,0.076749135646565,0.0506610500988251,65.8673469387755,30.1445444808985,-12.51406670561,-11.6729994476405,0.402940802768204,0.344,0.830511238957446,0.86,NA,118,0.0373700227165574,0.245800702056639,-20.4215166171515,-0.0344814867894551,-0.0876814949789,0.164738546968996
403,403,7,MED,raxml,40,0.75,0.04,17872,42_0_0,INT,REF,0.165488776856994,0.181464327372291,0.0831112224829939,0.0545581987120555,66.7040816326531,30.0072874941431,-12.5734919059923,-11.70046194792,0.371414871989273,0.313,0.753666782683804,0.845,NA,122,0.036433684184745,0.255046697749376,-14.2186953233053,-0.0660074175683854,-0.105414831042048,0.145092022049571
404,404,7,MED,raxml,40,0.75,0.05,16168,42_0_0,INT,REF,0.180142738988125,0.195737953830401,0.089122216334318,0.0580534587922267,67.3571428571429,28.7435335623421,-12.5551281009056,-11.6627150055454,0.308363010431412,0.311,0.810807532220615,0.843,NA,128,0.0367954346455054,0.267531676149111,-15.6098669743876,-0.0679777882420686,-0.107385201715731,0.131258270618703
405,405,7,MED,raxml,40,0.75,0.1,11759,42_0_0,INT,REF,0.231501431727528,0.239845256233375,0.108985166948719,0.0702810019846258,65.5918367346939,30.4748795434792,-12.101157703887,-11.2231970431036,0.391118578726105,0.335,0.767459377399586,0.853,NA,120,0.0357728834107901,0.240801685222627,-19.8450893509371,-0.046303710831554,-0.150733356536761,0.0954642506312055
406,406,7,MED,raxml,40,0.75,0,118704,42_0_0,INT,REF,2.69121265106505,0.0881460889912626,0.0415309212405251,0.189388283732167,65.0204081632653,30.8404539498316,-12.979220348496,-13.1979844588025,0.286688933020898,0.198,0.749726041336437,0.742,NA,106,0.0361877820435105,0.244881717145036,-17.6248856815522,-0.180288916642008,-0.142851873842028,0.963686402493972
407,407,7,MED,raxml,40,NA,0.01,33587,42_0_0,INT,REF,0.125686716554705,0.116882866587776,0.0566555387557261,0.0379290179168264,70.3877551020408,28.3594863682935,-12.8751517599623,-12.1812507153473,0.373385242662956,0.315,0.75169641201012,0.843,NA,112,0.03715620541646,0.24422925368316,-21.1442599422081,-0.0640370468947023,-0.166496321926226,0.272672658044927
408,408,7,MED,raxml,40,NA,0.02,24449,42_0_0,INT,REF,0.136107416151926,0.148750082361795,0.0693443414378387,0.0459507749466737,70.234693877551,28.2747204204352,-12.7253856710208,-11.9502406077302,0.314274122452462,0.317,0.753666782683804,0.847,NA,120,0.035471873717984,0.257828686394807,-20.9883596435874,-0.0620666762210191,-0.105414831042048,0.198486730477281
409,409,7,MED,raxml,40,NA,0.03,20424,42_0_0,INT,REF,0.152790103088671,0.168559404893356,0.0767708703532333,0.050436802626226,68.3877551020408,29.392345119257,-12.5878931023091,-11.7636001192491,0.387177837378738,0.328,0.822629756262714,0.852,NA,116,0.0383247304322269,0.251641166076185,-20.2605909967055,-0.0502444521789203,-0.0955629776736325,0.165810175600964
410,410,7,MED,raxml,40,NA,0.04,17995,42_0_0,INT,REF,0.166634925245245,0.180428369933069,0.0831288154344548,0.0548290726480832,69.6530612244898,28.6666234462771,-12.430501834048,-11.5593507150571,0.348755609241917,0.346,0.752681597346962,0.862,NA,116,0.0370060679537342,0.24348885467996,-19.0732872072206,-0.0886666803157416,-0.165511136589384,0.146090585092996
411,411,7,MED,raxml,40,NA,0.05,16285,42_0_0,INT,REF,0.180083637306836,0.193981045634763,0.0887486073361161,0.0579574122433594,70.4591836734694,26.9302912144253,-12.3590005238593,-11.4610805757032,0.347770423905075,0.345,0.75169641201012,0.861,NA,114,0.0368218862702597,0.23978369512024,-20.1341629567887,-0.0896518656525832,-0.202948179389364,0.132208123269766
412,412,7,MED,raxml,40,NA,0.1,11856,42_0_0,INT,REF,0.230944079704417,0.240200635311574,0.108822567514304,0.0697235086517924,66.2755102040816,29.8938950469358,-12.0132007828335,-11.1213237976613,0.339888941210343,0.342,0.828540868283763,0.858,NA,114,0.0361654941004304,0.249068281188699,-19.7592630181285,-0.0975333483473158,-0.148762985863078,0.0962517353077279
413,413,7,MED,raxml,40,NA,0,118873,42_0_0,INT,REF,2.69326310483271,0.0971990675735303,0.0415873989236574,0.189535419866868,66.6632653061225,30.6301326866717,-13.0634192420828,-13.2891721117013,0.22560744213672,0.183,0.708348257189091,0.735,NA,108,0.0215254994887244,0.236729787075136,-15.9935398076478,-0.166496321926226,-0.202948179389364,0.965058411878841
414,414,7,MED,raxml,40,1,0.01,32187,42_0_0,INT,REF,0.116386348924477,0.118567155820051,0.0576332515284693,0.0385702611941154,69.0816326530612,30.6777979657702,-12.8695688259306,-12.1568079087397,0.36944450131559,0.317,0.763518636052219,0.845,NA,114,0.0378432128927178,0.255598242388483,-19.2943801351736,-0.129059279126246,-0.213785218094621,0.261306899827078
415,415,7,MED,raxml,40,1,0.02,23638,42_0_0,INT,REF,0.134887438348741,0.149447742262572,0.0694763591918888,0.0459343506287627,65.6836734693878,31.7553784514263,-12.7261635090512,-11.9565531187856,0.379296354684006,0.32,0.759577894704853,0.848,NA,112,0.035119430310378,0.249116022627278,-20.6152862724684,-0.0581259348736529,-0.0995037190209989,0.191902709109655
416,416,7,MED,raxml,40,1,0.03,19734,42_0_0,INT,REF,0.152238325417052,0.169678167083245,0.0772233761875077,0.0513344911096703,68.8775510204082,29.2956016212851,-12.6069587469638,-11.794952427115,0.390133393389263,0.331,0.821644570925872,0.851,NA,110,0.0337606005498509,0.232239109741867,-20.580596138615,-0.0472888961683955,-0.0965481630104742,0.16020848047931
417,417,7,MED,raxml,40,1,0.04,17371,42_0_0,INT,REF,0.166292425454041,0.181501982604102,0.0832921721654791,0.05452576625732,69.9183673469388,26.371131306395,-12.5311025147987,-11.6707471114975,0.380281540020847,0.322,0.811792717557457,0.846,NA,126,0.0382843182277411,0.257572716015151,-19.2591820007939,-0.118222240420989,-0.10640001637889,0.141024704287326
418,418,7,MED,raxml,40,1,0.05,15695,42_0_0,INT,REF,0.179726935979744,0.195274888012171,0.08923764975782,0.0584227168140241,69.1224489795918,27.4234700091497,-12.3648670963451,-11.4681429062433,0.308363010431412,0.344,0.750711226673279,0.86,NA,120,0.0380565403479123,0.258262498329328,-19.5304196862117,-0.129059279126246,-0.167481507263067,0.127418268020816
419,419,7,MED,raxml,40,1,0.1,11414,42_0_0,INT,REF,0.23123804771861,0.239679413927207,0.109188946763365,0.0701138458506518,65.1734693877551,30.6439565391831,-12.0196237172604,-11.1314862699911,0.407866729452411,0.35,0.829526053620605,0.862,NA,118,0.0370097417905056,0.243418531333092,-19.2110447776373,-0.0295555601052472,-0.147777800526236,0.0926634030703784
420,420,7,MED,raxml,40,1,0,117473,42_0_0,INT,REF,2.72080883823014,0.0954957817827329,0.0416516325703405,0.191479215957037,68.1734693877551,27.7808157162434,-12.95583120087,-13.1830086163078,0.236444480841978,0.203,0.667955658378587,0.743,NA,106,0.0349261864962006,0.234597891166004,-15.9039880918508,-0.171422248610434,-0.25023707555776,0.953692653660992
421,421,2,MED,raxml,40,0.25,0.01,34505,50_0_0,INT,REF,0.155567804079961,0.16871330811436,0.0587961871242621,0.0396447707270829,78.6938775510204,24.4023018025596,-12.2919274434562,-12.1261534868607,0.347770423905075,0.327,0.812777902894298,0.817,NA,100,0.0643247181861043,0.259152604918676,-17.6513232820559,-0.0384222281368214,-0.0610814908841776,0.279173442721102
422,422,2,MED,raxml,40,0.25,0.02,25521,50_0_0,INT,REF,0.174601613205523,0.21691903161489,0.0720317912284052,0.048282833182922,76.0816326530612,25.7388444334799,-12.1856706863207,-11.940640716219,0.394074134736629,0.332,0.79504456683115,0.822,NA,100,0.0643244732636529,0.248742186115369,-19.0566928194999,0.0078814826947326,-0.103444460368365,0.206485594310542
423,423,2,MED,raxml,40,0.25,0.03,21566,50_0_0,INT,REF,0.197784052370569,0.21091659041159,0.0801178467173868,0.052959509657776,72.6836734693878,29.2277219553013,-12.0866303963928,-11.867939920671,0.412792656136619,0.318,0.870903837767951,0.812,NA,104,0.0594387602025509,0.255035957678047,-16.7296017165787,0.0266000040947225,-0.0275851894315641,0.174486435754913
424,424,2,MED,raxml,40,0.25,0.04,19243,50_0_0,INT,REF,0.216175977174221,0.267973021009138,0.0863565396531507,0.0574790588425738,71.5510204081633,28.7571138483363,-11.9227740430816,-11.6697488295009,0.364518574631382,0.344,0.886666803157416,0.828,NA,108,0.0600133482736029,0.262492269094958,-19.0889540221137,0.0295555601052472,-0.0610814908841776,0.155691481184818
425,425,2,MED,raxml,40,0.25,0.05,17536,50_0_0,INT,REF,0.234086222275982,0.241483683527989,0.0919684264236474,0.0600728594644082,69.2551020408163,30.1953472296541,-11.9708361066938,-11.6647624751046,0.321170419810353,0.32,0.718200110557507,0.818,NA,114,0.0674729513767703,0.286097804924524,-20.1024433992782,-0.0650222322315439,-0.159600024568335,0.141880466354361
426,426,2,MED,raxml,40,0.25,0.1,12924,50_0_0,INT,REF,0.287721297367165,0.374909614587059,0.112453659719201,0.0728858636132385,66.2244897959184,32.5704725591555,-11.5356195669724,-11.1302447994421,0.35663709193665,0.357,0.741844558641705,0.839,NA,124,0.0753474531126582,0.299602574838436,-18.5957506120499,-0.0502444521789203,-0.160585209905176,0.104565644797204
427,427,2,MED,raxml,40,0.25,0,121649,50_0_0,INT,REF,2.58785607199068,0.104002058541261,0.0430327133184627,0.182138786310172,74.6326530612245,27.920501190042,-12.6718225515291,-12.8742354332492,0.341859311884026,0.245,0.799970493515358,0.785,NA,100,0.0568947506995598,0.246123559039641,-12.9045604397064,-0.0926074216631079,-0.0522148228526034,0.984239099654522
428,428,2,MED,raxml,40,0.5,0.01,34456,50_0_0,INT,REF,0.157044313127381,0.184145601024665,0.0588896230389004,0.039737250200282,73.6938775510204,29.329063789145,-12.2481359211983,-12.0861129676031,0.299496342399838,0.319,0.699481589157517,0.813,NA,102,0.0995893875101796,0.275793761602246,-19.5851360138246,-0.0926074216631079,-0.174377804620959,0.278776992969085
429,429,2,MED,raxml,40,0.5,0.02,25472,50_0_0,INT,REF,0.175547309374423,0.22856914277221,0.071892180227573,0.0481377206696402,76.1122448979592,26.4102770737958,-12.1949385200047,-11.9782009665346,0.429540806862926,0.335,0.879770505799525,0.821,NA,102,0.0975210174078632,0.267652344834154,-19.7933079346501,-0.0305407454420888,-0.0679777882420686,0.206089144558525
430,430,2,MED,raxml,40,0.5,0.03,21520,50_0_0,INT,REF,0.197502415917432,0.267466308560736,0.0800688823285119,0.0531469509720369,70.7142857142857,28.8311830038599,-12.1213715524574,-11.8752948236828,0.386192652041897,0.319,0.713274183873299,0.815,NA,102,0.0597938977571226,0.25065429744248,-18.936282955205,-0.0729037149262765,-0.185214843326216,0.174114258436693
431,431,2,MED,raxml,40,0.5,0.04,19199,50_0_0,INT,REF,0.215545715901425,0.27050906991882,0.086033379145591,0.0565090749139778,68.6224489795918,31.8072530489193,-11.9823166476053,-11.7319264452316,0.399000061420837,0.327,0.873859393778476,0.815,NA,114,0.0756430745115328,0.275986616818008,-17.3964462692738,-0.0384222281368214,-0.073888900263118,0.15533548548913
432,432,2,MED,raxml,40,0.5,0.05,17492,50_0_0,INT,REF,0.235805744739919,0.304839244885167,0.0919354444528541,0.0608827897795028,68.5918367346939,30.3633788968706,-11.8984486308278,-11.6287830086133,0.372400057326115,0.326,0.745785299989071,0.822,NA,108,0.0625313959967425,0.26272058407351,-19.6960213578408,-0.013792594715782,-0.132014835136771,0.141524470658673
433,433,2,MED,raxml,40,0.5,0.1,12881,50_0_0,INT,REF,0.288117745757812,0.372653623960046,0.112235404819951,0.0715321247109919,67.6836734693878,30.7402140790242,-11.7571673610567,-11.3655837163433,0.31328893711562,0.309,0.704407515841725,0.805,NA,118,0.114004298389023,0.313708746491269,-18.0442435908412,-0.0995037190209989,-0.173392619284117,0.104217739912781
434,434,2,MED,raxml,40,0.5,0,121600,50_0_0,INT,REF,2.58878277330477,0.069016009821261,0.0430384661847794,0.182201589825432,74.9489795918367,27.9802479849366,-12.2675627249491,-12.5049137259185,0.33200745851561,0.307,0.856126057715327,0.815,NA,102,0.0657124487959,0.259732876592259,-12.15113536199,0.000985185336841554,-0.0423629694841877,0.983842649902506
435,435,2,MED,raxml,40,0.75,0.01,34366,50_0_0,INT,REF,0.154921912938284,0.161708126445393,0.0586695192760068,0.0394844057002786,80.6224489795918,23.6170108648002,-12.2977670363982,-12.1442127796764,0.367474130641907,0.319,0.783222342789051,0.813,NA,98,0.0642637324956986,0.256837044062254,-19.6173918850217,-0.046303710831554,-0.0650222322315439,0.278048819955177
436,436,2,MED,raxml,40,0.75,0.02,25407,50_0_0,INT,REF,0.16556608903375,0.258758928650014,0.0719135097560629,0.0477636260823761,71.3265306122449,31.3354894188301,-12.205159889983,-11.8661322119359,0.484711185726054,0.394,0.97040755678895,0.884,NA,102,0.0651804772313966,0.267986899676013,-19.2332676690491,0.0985185336841573,-0.0236444480841977,0.205563241826258
437,437,2,MED,raxml,40,0.75,0.03,21457,50_0_0,INT,REF,0.198652887688467,0.204197968488552,0.0799610597501876,0.0527173304632208,71.3673469387755,29.4581260576237,-12.1196376285491,-11.8535426184799,0.293585230378789,0.315,0.711303813199616,0.813,NA,112,0.100367995983272,0.290058455104805,-16.7612174094359,-0.0660074175683854,-0.187185213999899,0.173604537326958
438,438,2,MED,raxml,40,0.75,0.04,19138,50_0_0,INT,REF,0.217907341136324,0.293245111713698,0.0860673548459756,0.0569703414119686,71.8673469387755,28.1452923148195,-12.000156871747,-11.7288049659567,0.336933385199818,0.333,0.722140851904873,0.823,NA,112,0.100869107318895,0.293291956080437,-18.6692252323141,-0.0758592709368012,-0.180288916642008,0.154841946001926
439,439,2,MED,raxml,40,0.75,0.05,17433,50_0_0,INT,REF,0.234665065140216,0.302480285128907,0.0918311612938661,0.0605962316943073,69.8265306122449,30.0250841901029,-11.8964346119945,-11.6601653375765,0.404911173441887,0.337,0.793074196157467,0.823,NA,110,0.0647175737981961,0.266488011872229,-19.1802001606982,-0.0541851935262865,-0.105414831042048,0.141047112794
440,440,2,MED,raxml,40,0.75,0.1,12832,50_0_0,INT,REF,0.29049598018734,0.371979313404031,0.112585605895524,0.0733684616810139,66.9081632653061,31.2129654314456,-11.5544109118635,-11.1801423597697,0.343829682557709,0.343,0.729037149262764,0.833,NA,120,0.0656757104281857,0.293287053390315,-17.1032804107318,-0.0689629735789101,-0.169451877936751,0.103821290160764
441,441,2,MED,raxml,40,0.75,0,121510,50_0_0,INT,REF,2.57444506058419,0.0804649624699205,0.0428474182894685,0.181195779534542,77.4081632653061,26.172243396902,-12.5143442626339,-12.7315799540055,0.275851894315641,0.266,0.708348257189091,0.79,NA,106,0.0909117850560566,0.269110775882069,-14.1264586754977,-0.0699481589157517,-0.200977808715681,0.983114476888598
442,442,2,MED,raxml,40,NA,0.01,34518,50_0_0,INT,REF,0.155466255743666,0.195118374541523,0.0586458651844909,0.039437727861022,76.6530612244898,24.9820975243846,-12.3171923166993,-12.1530010354691,0.31920004913667,0.318,0.712288998536458,0.812,NA,100,0.06431026776147,0.258952116279644,-18.9262924780542,-0.0935926069999495,-0.186200028663057,0.279278623267555
443,443,2,MED,raxml,40,NA,0.02,25534,50_0_0,INT,REF,0.175711003364279,0.229424736006088,0.0720078433010187,0.0481085481927164,73.8061224489796,28.3540422992296,-12.1633434830893,-11.9176530574045,0.297525971726155,0.323,0.705392701178567,0.815,NA,104,0.0998218189165855,0.281285782254165,-19.236940896328,-0.0827555682946922,-0.193096326020948,0.206590774856995
444,444,2,MED,raxml,40,NA,0.03,21579,50_0_0,INT,REF,0.198550376045405,0.245098756986951,0.0799095807473015,0.0529593951303156,74.7244897959184,26.8799471542516,-12.0789531332379,-11.8181003765942,0.301466713073521,0.323,0.709333442525933,0.815,NA,108,0.0998458213168256,0.282660453458088,-19.4031332600555,-0.0581259348736529,-0.185214843326216,0.174591616301367
445,445,2,MED,raxml,40,NA,0.04,19256,50_0_0,INT,REF,0.216470938113535,0.293261303530534,0.0863385672885028,0.056976211612493,70.6224489795918,29.141501672252,-12.0585017574505,-11.7845560466782,0.386192652041897,0.319,0.7891334548101,0.815,NA,102,0.0597938977571226,0.25065429744248,-19.4912665132576,0,-0.110340757726256,0.155796661731272
446,446,2,MED,raxml,40,NA,0.05,17545,50_0_0,INT,REF,0.220506556948367,0.209216872659378,0.0916839691276603,0.0596733517715999,66.1938775510204,33.6934813247113,-12.0047898270297,-11.6064088069505,0.271911152968274,0.374,0.673866770399636,0.868,NA,114,0.0764549924380193,0.284848685298578,-18.5141595867237,-0.0906370509894248,-0.224622256799879,0.141953283655752
447,447,2,MED,raxml,40,NA,0.1,12930,50_0_0,INT,REF,0.291199527500797,0.390382029533453,0.112563098279417,0.073113030104547,67.7448979591837,30.6090449621453,-11.5834572600218,-11.1760128184283,0.359592647947174,0.343,0.822629756262714,0.835,NA,118,0.101802016936388,0.303292932352139,-18.408453534378,0.0256148187578809,-0.0758592709368011,0.104614189664798
448,448,2,MED,raxml,40,NA,0,121662,50_0_0,INT,REF,2.57780668949506,0.0796767151064848,0.0428990406108755,0.181434605655262,73.7551020408163,28.1608272285398,-12.6423450691265,-12.8526857050523,0.342844497220868,0.25,0.808837161546932,0.788,NA,98,0.0570003122761256,0.239832920282834,-13.6944615254607,-0.0709333442525933,-0.114281499073623,0.984344280200976
449,449,2,MED,raxml,40,1,0.01,33271,50_0_0,INT,REF,0.150975399160761,0.170763691096248,0.0597420221454427,0.0402316409166815,76.0204081632653,26.3485673594133,-12.269009921157,-12.1447017770132,0.301466713073521,0.322,0.717214925220665,0.816,NA,100,0.0658143365356944,0.249370151074458,-19.195057350775,-0.0640370468947023,-0.18127410197885,0.269189381619295
450,450,2,MED,raxml,40,1,0.02,24804,50_0_0,INT,REF,0.166613106576301,0.152148109265755,0.0721710324104311,0.0480758108178789,74.469387755102,28.2847101174012,-12.1380257440143,-11.7979051835641,0.480770444378688,0.412,0.835437165641654,0.894,NA,104,0.0647440254229505,0.266633894627763,-18.7619748374972,0.0216740774105146,-0.0630518615578607,0.200684482633074
451,451,2,MED,raxml,40,1,0.03,20927,50_0_0,INT,REF,0.198176075989271,0.25849476296826,0.0798526017031936,0.0525985080632608,71.7755102040816,28.5095500773565,-12.1191189771712,-11.8564769890416,0.299496342399838,0.315,0.711303813199616,0.813,NA,114,0.100485068915055,0.296369021458658,-17.4614343726813,-0.0926074216631079,-0.187185213999899,0.169316407356166
452,452,2,MED,raxml,40,1,0.04,18657,50_0_0,INT,REF,0.217464431892692,0.316587951614368,0.0861260448768692,0.0568260420825913,71.0612244897959,29.9190717117596,-11.8993895829056,-11.6306015073875,0.407866729452411,0.339,0.814748273567981,0.827,NA,108,0.103531169443475,0.280819093490672,-15.5602651976842,0.0216740774105146,-0.0837407536315338,0.15095026578315
