,tree.num,simulation,height,method,quality,missing,maf,sites,taxa_ref,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,avg_dxy,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites
97,97,4,MED,raxml,40,NA,0.1,11710,82_0_0,INT,REF,0.192906086539925,0.50639892011848,0.103257426409567,0.0652151186624764,65.5,32.0358208016119,-12.6268371060532,-10.8471968748157,0.358607462610333,0.337,0.811792717557457,0.819,NA,106,0.0453503309514625,0.232616015164845,-11.4759679473156,-0.0640370468947022,-0.192111140684107,0.0944377686556933
98,98,4,MED,raxml,40,NA,0,123292,82_0_0,INT,REF,6.6744341916755,0.08574017880931,0.0594346549874471,0.470475456387185,74.7755102040816,29.9330974324736,-11.9359875740828,-12.143298057825,0.347770423905075,0.294,0.840363092325862,0.808,NA,94,0.0427423966886485,0.22196918832712,-13.2886859496844,-0.0985185336841574,-0.104429645705207,0.994314378573675
99,99,4,MED,raxml,40,1,0.01,31717,82_0_0,INT,REF,0.107522023807069,0.21999491131846,0.0549134671247274,0.0365581425096081,81.6428571428571,21.5599141210538,-13.0380300119397,-11.9109822907472,0.374370427999798,0.329,0.817703829578506,0.817,NA,94,0.0299417696871728,0.196036925195237,-16.3384839681838,-0.115266684410464,-0.0955629776736326,0.255788446494673
100,100,4,MED,raxml,40,1,0.02,23627,82_0_0,INT,REF,0.121340580306371,0.242707582051979,0.0666756050728685,0.0439688598995598,75.7959183673469,28.2634729057541,-12.9498737200114,-11.6703185252617,0.396044505410312,0.351,0.829526053620605,0.829,NA,86,0.0244075019746873,0.161408836942114,-19.3677536676199,-0.111325943063098,-0.115266684410464,0.19054493253869
101,101,4,MED,raxml,40,1,0.03,19765,82_0_0,INT,REF,0.136070776429406,0.248164936126792,0.0743944364201055,0.0482809985719926,70.5612244897959,32.564311097397,-12.9689190721414,-11.6226049688131,0.330037087841927,0.347,0.763518636052219,0.825,NA,102,0.028380878904217,0.194134567972495,-17.172727021548,-0.126103723115721,-0.21280003275778,0.159399017718171
102,102,4,MED,raxml,40,1,0.04,17465,82_0_0,INT,REF,0.14886320157372,0.353226580096075,0.0806242402536727,0.0521575222441415,65.4183673469388,35.5121362932602,-12.9331638525277,-11.5586413127364,0.40688154411557,0.33,0.818689014915348,0.818,NA,100,0.0299689560792814,0.194860327771248,-17.7142565578274,-0.132014835136771,-0.141866688505187,0.140850181859239
103,103,4,MED,raxml,40,1,0.05,15887,82_0_0,INT,REF,0.157923819995931,0.403880486580401,0.085440732129009,0.0548605904825673,67.2142857142857,35.0443754035178,-12.8690139337866,-11.3374906798721,0.371414871989273,0.353,0.820659385589031,0.829,NA,106,0.0272429691948787,0.189662238606866,-17.1503185056496,-0.0571407495368113,-0.118222240420989,0.128124067517763
104,104,4,MED,raxml,40,1,0.1,11255,82_0_0,INT,REF,0.192812883029602,0.434900957459617,0.103413507571792,0.0642567975654683,61.5102040816327,36.0392812318795,-12.7302524876675,-10.9712966020115,0.360577833284016,0.333,0.811792717557457,0.811,NA,110,0.0470954034178928,0.2398312755833,-18.1005359791379,-0.0798000122841674,-0.133000020473612,0.0907683250401219
105,105,4,MED,raxml,40,1,0,121942,82_0_0,INT,REF,6.77497721971775,0.116377643767564,0.0597708527001014,0.477584834714334,77.4591836734694,25.167139583009,-11.9203377711305,-12.1414140640703,0.344814867894551,0.299,0.841348277662704,0.809,NA,94,0.034167906586577,0.201875261147852,-13.2645470405242,-0.144822244515711,-0.060096305547336,0.983427018395606
106,106,4,MED,raxml,40,0.25,0.01,33312,0_0_0,EXT,REF,0.130605863839074,0.167166309383973,0.054062509684167,0.0358941426936473,76.765306122449,27.3593124877478,-13.1005934309768,-12.0761932215019,0.392103764062946,0.288,0.786177898799576,0.79,NA,98,0.0499159303685471,0.212031087691427,-19.6850989999448,-0.164525951252543,-0.118222240420989,0.26865166092728
