,tree.num,simulation,height,method,quality,missing,maf,sites,int,noref,gt_rf,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,Q.Dist.ML,CI.Dist.ML,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.gamma,std.ingroup.colless,std.ingroup.sackin,taxa_ref,avg_dxy
1,701,16,SHORT,raxml,40,0.75,0,164611,EXT,REF,0.80842,0.145550507338273,0.0117462190698445,0.00356632239348966,0.0143871111400225,100,0,-5.82798416674806,-4.98825935059784,0.244362602899006,0.478004184082106,0.551875091940451,1.03237590053236,0.0652670358295134,0.00879951980792317,0.0473192028613547,-7.49640447707968,-0.34869719739521,-0.590314153070632,0.92524872126356,-0.0573529408065427,0.00565685424949236,0,0_0_0,0.375392
2,702,16,SHORT,raxml,40,0.5,0,169519,EXT,REF,0.80842,0.147946714856144,0.0121567659883821,0.00362801743396915,0.0146233688382227,100,0,-5.778359413892,-4.8490200817114,0.244362602899006,0.478004184082106,0.551875091940451,1.03237590053236,0.0652670358295134,0.00879951980792317,0.0473192028613547,-7.43947509577091,-0.34869719739521,-0.590314153070632,0.952835703445562,0.0775225301550782,0.00565685424949236,0,0_0_0,0.375392
3,703,16,SHORT,raxml,40,0.25,0,170014,EXT,REF,0.80842,0.148350026971112,0.0122516829160753,0.00364142128632427,0.0146630141327483,100,0,-5.76164204601509,-4.81234104602003,0.244362602899006,0.478004184082106,0.551875091940451,1.03237590053236,0.0652670358295134,0.00879951980792317,0.0473192028613547,-7.45625594150873,-0.34869719739521,-0.590314153070632,0.955618009105728,0.110803614837429,0.00565685424949236,0,0_0_0,0.375392
4,704,16,SHORT,raxml,40,0,0,170078,EXT,REF,0.80842,0.148365625567824,0.0122663182460158,0.00364265555387078,0.0146644859367742,100,0,-5.75751359103279,-4.80255211310069,0.244362602899006,0.478004184082106,0.551875091940451,1.03237590053236,0.0652670358295134,0.00879951980792317,0.0473192028613547,-7.45233992022361,-0.34869719739521,-0.590314153070632,0.955977741554719,0.119401918648781,0.00565685424949236,0,0_0_0,0.375392
5,705,17,SHORT,raxml,40,0.75,0,171902,INT,REF,0.76973,0.106061074025865,0.0105329747418664,0.00300136734459222,0.0104667132915785,98.1458333333333,10.9233101976351,-4.62182753183137,-4.34368485537058,0.334968961277289,0.373352380466497,0.746816044814939,0.95035151391472,0.0109221392883286,0.00056422569027611,0.0113520890318161,-9.09856734466079,-0.170230127862229,-0.318495077935782,0.957756680261193,-1.2615425271161,-0.00848528137423854,-0.00282842712474618,35_0_0,0.0397923
6,706,17,SHORT,raxml,40,0.5,0,176375,INT,REF,0.76973,0.107230482714134,0.0108494353221634,0.00305265995424046,0.0105806238879319,99.0208333333333,5.57917702820557,-4.53426546708787,-4.22597412583946,0.24710825012259,0.373352380466497,0.730342161473433,0.95035151391472,0.0109221392883285,0.00056422569027611,0.0113520890318164,-5.96485428936492,-0.258090839016927,-0.334968961277288,0.982678121726728,-0.0531423986010462,-0.00848528137423854,-0.00282842712474618,35_0_0,0.0397923
7,707,16,SHORT,raxml,40,0.75,0,168960,INT,REF,0.80842,0.143067651992615,0.0121367058242241,0.00361841582108169,0.014135165832751,97.8958333333333,10.9626825093778,-5.96571934140076,-4.97607311631613,0.274564722358433,0.469518902707868,0.653464039213071,1.02954747340761,0.0485299930301399,0.00795918367346939,0.0368666642869301,-6.11832567709695,-0.318495077935783,-0.488725205798011,0.949693665336406,-0.0537567369589746,-0.00282842712474618,-0.00282842712474629,11_0_0,0.0364154
8,708,17,SHORT,raxml,40,0.25,0,176828,INT,REF,0.76973,0.107245896397467,0.0109828594881801,0.00305735570734957,0.0105818334922821,97.9791666666667,12.8534945713232,-4.51223807070115,-4.19622972746381,0.334968961277289,0.373352380466497,0.746816044814939,0.95035151391472,0.0109221392883286,0.00056422569027611,0.0113520890318161,-8.78915461559473,-0.170230127862229,-0.318495077935782,0.985202023578703,-1.12469251875379,-0.00848528137423854,-0.00282842712474618,35_0_0,0.0397923
9,709,17,SHORT,raxml,40,0,0,176889,INT,REF,0.76973,0.107387154235252,0.0112049850074506,0.00306201237218014,0.0105956945845716,98.2291666666667,10.745092067828,-4.50990208663351,-4.19125584194483,0.288292958476355,0.373352380466497,0.793492047615872,0.95035151391472,0.0109221392883284,0.00056422569027611,0.0113520890318164,-6.83277082572024,-0.216906130663162,-0.271819075134849,0.985541886741994,-1.11961132037525,-0.00848528137423854,-0.00282842712474618,35_0_0,0.0397923
10,710,17,SHORT,raxml,40,0.75,0,170924,EXT,REF,0.76973,0.108102880304962,0.00842925279165165,0.00296493882416305,0.0106709071860047,99.8333333333333,0.630208791248881,-4.71458224954324,-4.41323517762006,0.307512489041445,0.373352380466497,0.719359572579095,0.95035151391472,0.0109221392883285,0.00056422569027611,0.0113520890318159,-8.61557849462304,-0.197686600098072,-0.345951550171626,0.952307726594014,-1.31329622821071,-0.00848528137423854,-0.00282842712474618,0_0_0,0.330525
