,tree.num,simulation,method,height,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps,dxy
1,1,7,raxml,Cichlids,40,0.25,3,EXT,REF,0.000262993283325423,0.0088568251850852,0.00869360946373364,0.0122127389023277,82.2916666666667,26.4823974724066,-0.961309314795067,5.17008642928847,0.302021194594277,0.661851947190608,0.642481450318734,1.24450793488832,s7_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,3480,0.264638
2,2,7,raxml,Cichlids,40,0,3,EXT,REF,0.000263884135043659,0.00710271816451088,0.00889299203809993,0.0125189753901405,86.1666666666667,21.2966217811835,-1.34666241737969,5.31778546436167,0.293784252923524,0.659023520065862,0.634244508647981,1.24167950776358,s7_q40_miss0_mac3.REF.cichlids.EXT.noInv,3703,0.264638
3,3,7,raxml,Cichlids,40,0.75,3,EXT,REF,1.00000050002909e-06,0.0253973415132598,0.00773082701090231,0.0106482233828843,82.7916666666667,23.4864907601572,0.829410637189089,3.94225198564219,0.326732019606536,0.390322943214974,0.694648747566836,1.00126320216015,s7_q40_miss0.75_mac3.REF.cichlids.EXT.noInv,2223,0.264638
4,4,7,raxml,Cichlids,40,0.5,3,EXT,REF,0.000294208930116995,0.00817230530750647,0.00832517736926295,0.0115669148359406,82.5,26.3075104558181,-1.06856546928951,5.03245306796403,0.31025813626503,0.670337228564847,0.645227097542318,1.24733636201307,s7_q40_miss0.50_mac3.REF.cichlids.EXT.noInv,3157,0.264638
5,5,7,raxml,Cichlids,40,0.9,3,EXT,REF,0.00143772044484764,1.00000050002909e-06,0.00760697166343822,0.010384897373823,76.1458333333333,29.4242551440158,-1.57694091830291,4.39481845387457,0.63973580309515,0.752361615182487,1.05707418107997,1.26713535188629,s7_q40_miss0.90_mac3.REF.cichlids.EXT.noInv,926,0.264638
6,6,1,raxml,Cichlids,40,0.25,10,INT,REF,0.0112871738243044,0.0790757672787243,0.0351967700932054,0.0447359190106781,97.125,9.85992317953761,-2.84995371746955,5.47376716511394,0.315749430712198,0.576999133448223,0.645227097542318,1.14268455839746,s1_q40_miss0.25_mac10.REF.cichlids.INT.noInv,59832,0.217217
7,7,1,raxml,Cichlids,40,0,10,INT,REF,0.0114596683903867,0.0790839748209963,0.0352550902145112,0.04482585895343,95.3958333333333,16.3833589460345,-3.01777477715073,5.49619927081836,0.315749430712198,0.576999133448223,0.63973580309515,1.14268455839746,s1_q40_miss0_mac10.REF.cichlids.INT.noInv,60327,0.217217
8,8,2,raxml,Cichlids,40,0.25,10,INT,REF,0.00677356940021073,0.0529315750162375,0.0334251234757124,0.0461035778520726,93.625,14.4098444481985,-0.612050981072675,5.77783912866773,0.436557908549909,0.724077343935025,0.738579103144186,1.28410591463477,s2_q40_miss0.25_mac10.REF.cichlids.INT.noInv,54355,0.209569
9,9,8,raxml,Cichlids,40,0,10,INT,REF,0.00545336818332748,0.0725785026273596,0.028988698839305,0.039603909539975,97.4166666666667,9.5779741413559,-0.915997690011342,5.21832161929751,0.43106661410274,0.664680374315355,0.798983342063041,1.21339523651612,s8_q40_miss0_mac10.REF.cichlids.INT.noInv,65118,0.234123
10,10,8,raxml,Cichlids,40,0.25,10,INT,REF,0.0053461918106215,0.0734911381055156,0.0289315000616784,0.0395125970039591,97.4375,8.88198331790679,-0.869574303591357,5.21206200282019,0.439303555773493,0.664680374315355,0.8236941670753,1.21339523651612,s8_q40_miss0.25_mac10.REF.cichlids.INT.noInv,64608,0.234123
11,11,5,raxml,Cichlids,40,0.25,10,INT,REF,0.00815968297569179,0.0765614171015111,0.0314436593176161,0.0437412233319537,94.0208333333333,16.874366287024,-2.53373587717527,5.70893124161215,0.384390611301807,0.605283404695685,0.774272517050782,1.17662568389442,s5_q40_miss0.25_mac10.REF.cichlids.INT.noInv,58745,0.229767
12,12,7,raxml,Cichlids,40,0,10,INT,REF,0.00507669494979545,0.0461354453773427,0.0313824572518044,0.0430163139080366,94.0416666666667,16.2021253312097,-1.0066983109158,6.01841443644413,0.323986372382951,0.678822509939086,0.626007566977228,1.23885108063883,s7_q40_miss0_mac10.REF.cichlids.INT.noInv,60711,0.211928
13,13,7,raxml,Cichlids,40,0.25,10,INT,REF,0.00511424871033492,0.0458808830427874,0.0313148052863244,0.0429348749178151,94.4166666666667,15.4958241915649,-1.0375262994547,6.01617164816943,0.323986372382951,0.678822509939086,0.626007566977228,1.23885108063883,s7_q40_miss0.25_mac10.REF.cichlids.INT.noInv,60245,0.211928
14,14,1,raxml,Cichlids,40,0.25,3,EXT,REF,0.000126400359175931,0.0853764407396655,0.0106041193156376,0.0160036430422977,99.7916666666667,1.05100424788771,1.37297215689626,3.41036659843608,0.291038605699939,0.509116882454314,0.636990155871565,1.08045916165304,s1_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,114796,0.264785
15,15,1,raxml,Cichlids,40,0,3,EXT,REF,9.2874665264668e-05,0.0919500837861055,0.0109876049904308,0.0165237515955399,99.5625,2.50876124386587,0.701948216719997,3.57545891661758,0.291038605699939,0.509116882454314,0.631498861424397,1.08045916165304,s1_q40_miss0_mac3.REF.cichlids.EXT.noInv,124113,0.264785
16,16,4,raxml,Cichlids,40,0,10,INT,REF,0.00445775014984078,0.0665771378042718,0.0293866743912027,0.0412206318473095,94.8125,13.4570336745937,-1.6312516446792,5.91582874967743,0.414592730761234,0.543058007951268,0.771526869827198,1.12005714139949,s4_q40_miss0_mac10.REF.cichlids.INT.noInv,64069,0.232505
17,17,4,raxml,Cichlids,40,0.25,10,INT,REF,0.00447211259912413,0.0660372699241527,0.0293094674712141,0.0411211356281376,94.75,14.5185134928667,-1.6745289287142,5.91588375186331,0.414592730761234,0.543058007951268,0.771526869827198,1.12005714139949,s4_q40_miss0.25_mac10.REF.cichlids.INT.noInv,63629,0.232505
18,18,2,raxml,Cichlids,40,0,10,INT,REF,0.0067577183806329,0.0526539215250667,0.0335047672525921,0.0462670587073433,91.25,19.3791948101401,-0.608774039019716,5.78095006230116,0.436557908549909,0.724077343935025,0.738579103144186,1.28410591463477,s2_q40_miss0_mac10.REF.cichlids.INT.noInv,54805,0.209569
19,19,8,raxml,Cichlids,40,0.25,3,EXT,REF,6.57130856604226e-05,0.0416171634038146,0.00954577967315921,0.0128496389755459,96.6666666666667,15.2320118302594,0.723795246846835,3.76698848530175,0.428320966879156,0.528915872327538,0.818202872628131,1.09460129727678,s8_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,108731,0.277349
20,20,6,raxml,Cichlids,40,0.25,10,INT,REF,0.00150870376277176,0.000643787735118966,0.0295218174592732,0.0435050716976715,92.7083333333333,17.4196738046668,4.4271253928778,5.90543586893577,0.356934139065963,0.698621499812309,0.697394394790421,1.28127748751002,s6_q40_miss0.25_mac10.REF.cichlids.INT.noInv,56015,0.241146
21,21,6,raxml,Cichlids,40,0,10,INT,REF,0.00150038714091165,0.000644464516136759,0.0295768194135751,0.0435608999176783,91.125,21.0112685065733,4.3897055666761,5.82454860762094,0.356934139065963,0.752361615182487,0.691903100343252,1.32936074863071,s6_q40_miss0_mac10.REF.cichlids.INT.noInv,56380,0.241146
22,22,4,raxml,Cichlids,40,0.25,5,INT,REF,0.000844429791707057,0.0332192871509045,0.0154047288279001,0.0203112152049858,90.3958333333333,21.4711479673412,-2.59509600883918,5.20131350550144,0.414592730761234,0.543058007951268,0.771526869827198,1.12005714139949,s4_q40_miss0.25_mac5.REF.cichlids.INT.noInv,109060,0.232505
23,23,1,raxml,Cichlids,40,0.25,5,INT,REF,0.000971685321960441,0.0370395841257252,0.0171027608846263,0.0229165795739094,98.9166666666667,6.55202854192382,-2.93805234490697,4.57778086125435,0.343205902948042,0.562856997824492,0.683666158672499,1.12854242277373,s1_q40_miss0.25_mac5.REF.cichlids.INT.noInv,109946,0.217217
24,24,3,raxml,Cichlids,40,0.25,10,INT,REF,0.00493486082466059,0.0698605555837834,0.0298819983932987,0.0440808030839852,90.625,21.4849031608194,-2.53062682746311,5.77297783340488,0.387136258525391,0.551543289325507,0.738579103144186,1.12854242277373,s3_q40_miss0.25_mac10.REF.cichlids.INT.noInv,58044,0.229259
25,25,1,raxml,Cichlids,40,0,5,INT,REF,0.00109483194765217,0.0364479428480967,0.0178021631231589,0.0238957813823801,98.9375,6.78674004405148,-2.90189322965984,4.55947402268325,0.343205902948042,0.562856997824492,0.67817486422533,1.12854242277373,s1_q40_miss0_mac5.REF.cichlids.INT.noInv,115350,0.217217
26,26,8,raxml,Cichlids,40,0.25,5,INT,REF,0.00112460446237287,0.0393318935096865,0.0167263261157396,0.0218193508757241,99.625,1.56592709267528,-2.03992917576708,4.6764764157989,0.439303555773493,0.576999133448223,0.818202872628131,1.14268455839746,s8_q40_miss0.25_mac5.REF.cichlids.INT.noInv,108740,0.234123
27,27,2,raxml,Cichlids,40,0.25,3,EXT,REF,1.00000050002909e-06,0.0353216635469204,0.0121909105919138,0.0165745934190474,91.3541666666667,21.856874456173,0.262652627263324,4.82314230975363,0.43106661410274,0.709935208311294,0.744070397591354,1.27562063326053,s2_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,88686,0.271124
28,28,9,raxml,Cichlids,40,0,10,INT,REF,0.0110478824264767,0.0738972432889996,0.0341291585939566,0.0428983366505364,92.375,16.3494095150058,-3.2515590569166,5.48948854333501,0.384390611301807,0.543058007951268,0.768781222603613,1.13702770414797,s9_q40_miss0_mac10.REF.cichlids.INT.noInv,60784,0.220617
29,29,5,raxml,Cichlids,40,0,10,INT,REF,0.00813505394459036,0.0757923242351241,0.0315134485594572,0.0438488565847124,93.9583333333333,17.6851402142353,-2.58406158587616,5.71294425674568,0.384390611301807,0.605283404695685,0.768781222603613,1.17662568389442,s5_q40_miss0_mac10.REF.cichlids.INT.noInv,59142,0.229767
30,30,6,raxml,Cichlids,40,0.25,3,EXT,REF,1.00000050002909e-06,1.00000050002909e-06,0.0112541792450013,0.0171350856908048,97.1666666666667,9.82903500238015,3.95931905879954,4.06483623845174,0.406355789090481,0.562856997824492,0.752307339262107,1.16248354827068,s6_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,86747,0.278644
31,31,5,raxml,Cichlids,40,0.25,5,INT,REF,0.00143862001594134,0.0404811280428728,0.017938330878352,0.0269347616846458,94.7291666666667,14.1040805674274,-2.02428368225943,4.72469419831346,0.345951550171626,0.562856997824492,0.752307339262107,1.14551298552221,s5_q40_miss0.25_mac5.REF.cichlids.INT.noInv,101383,0.229767
32,32,10,raxml,Cichlids,40,0.25,10,INT,REF,0.00761928305042313,0.0753340387006064,0.0333191086247979,0.0440120514060532,93.2916666666667,18.1506208009807,-3.12048842178871,5.60121129311282,0.409101436314066,0.57134227919873,0.771526869827198,1.14834141264695,s10_q40_miss0.25_mac10.REF.cichlids.INT.noInv,60455,0.224374
33,33,4,raxml,Cichlids,40,0.25,3,EXT,REF,1.00000050002909e-06,0.112557058937333,0.010283241193246,0.0127589331250981,93.2291666666667,16.5107825288904,-0.00794414612187636,4.26818309872982,0.337714608500873,0.463862048458375,0.705631336461174,1.05217489040558,s4_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,101065,0.281971
34,34,7,raxml,Cichlids,40,0,5,INT,REF,0.000632387991893863,0.0239806260362237,0.0162199037259704,0.0224138101602055,96.625,11.6393042857088,-0.715915966639587,5.16002828198565,0.343205902948042,0.670337228564847,0.683666158672499,1.23036579926459,s7_q40_miss0_mac5.REF.cichlids.INT.noInv,113054,0.211928
35,35,4,raxml,Cichlids,40,0,5,INT,REF,0.000907142413815647,0.035412310663106,0.0159643818333331,0.0210856682542304,90.625,21.5541130004007,-2.56736739309495,5.22922099308204,0.414592730761234,0.543058007951268,0.771526869827198,1.12005714139949,s4_q40_miss0_mac5.REF.cichlids.INT.noInv,113766,0.232505
36,36,9,raxml,Cichlids,40,0.25,10,INT,REF,0.0113039764452914,0.0743995199101872,0.0340566216114235,0.0427267722097177,93.5,14.7576161368479,-3.22845835054555,5.48048790345893,0.384390611301807,0.543058007951268,0.774272517050782,1.13702770414797,s9_q40_miss0.25_mac10.REF.cichlids.INT.noInv,60227,0.220617
37,37,5,raxml,Cichlids,40,0.25,3,EXT,REF,1.00000050002909e-06,0.0364064942960503,0.0107472247818935,0.0155767713256054,94.6041666666667,13.6252887275023,0.77826278484742,4.19231993775846,0.384390611301807,0.557200143574999,0.801728989286625,1.14551298552221,s5_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,94707,0.272258
38,38,10,raxml,Cichlids,40,0,10,INT,REF,0.00761085755322845,0.0757741180598479,0.0333711812984603,0.0440563557671518,93.2708333333333,17.7005103704918,-3.09715459898759,5.60125693937814,0.414592730761234,0.57134227919873,0.793492047615872,1.14834141264695,s10_q40_miss0_mac10.REF.cichlids.INT.noInv,60817,0.224374
39,39,6,raxml,Cichlids,40,0.25,5,INT,REF,0.00040282614518321,0.000158393547599348,0.0199925194102932,0.0291657884563717,97.3125,9.95982621825664,4.4740177667284,4.88145727532344,0.354188491842379,0.644881384442131,0.694648747566836,1.23319422638934,s6_q40_miss0.25_mac5.REF.cichlids.INT.noInv,93893,0.241146
40,40,7,raxml,Cichlids,40,0.25,5,INT,REF,0.000619971708939284,0.0236060693563624,0.0157442031509738,0.0217482574707436,95.5833333333333,15.7099146541194,-0.818768280050635,5.13114663119394,0.343205902948042,0.670337228564847,0.683666158672499,1.23036579926459,s7_q40_miss0.25_mac5.REF.cichlids.INT.noInv,108207,0.211928
41,41,5,raxml,Cichlids,40,0,3,EXT,REF,1.00000050002909e-06,0.0363532094637383,0.0110518066027448,0.0159560152639414,94.2291666666667,14.9683916379466,-0.0139171155234319,4.33218896215084,0.384390611301807,0.557200143574999,0.785255105945119,1.14551298552221,s5_q40_miss0_mac3.REF.cichlids.EXT.noInv,101188,0.272258
42,42,8,raxml,Cichlids,40,0,5,INT,REF,0.00137738619537338,0.0395888552645231,0.0174329554670332,0.0227967537912339,99.625,1.60617160790575,-2.12768875310119,4.71248883875432,0.439303555773493,0.576999133448223,0.818202872628131,1.14268455839746,s8_q40_miss0_mac5.REF.cichlids.INT.noInv,114141,0.234123
43,43,1,raxml,Cichlids,40,0.75,10,INT,REF,0.00980977686478425,0.0700247099278074,0.0327266948633527,0.041102407688313,97.6041666666667,9.07355189391846,-3.14113750354461,5.38792969718678,0.315749430712198,0.576999133448223,0.645227097542318,1.14268455839746,s1_q40_miss0.75_mac10.REF.cichlids.INT.noInv,32656,0.217217
44,44,10,raxml,Cichlids,40,0,3,EXT,REF,1.00000050002909e-06,0.0349531702805792,0.0114394866810266,0.0154175868272985,98.3958333333333,7.78088105095291,-0.89618839962982,4.05177521439616,0.378899316854638,0.537401153701776,0.752307339262107,1.12005714139949,s10_q40_miss0_mac3.REF.cichlids.EXT.noInv,105506,0.272004
45,45,10,raxml,Cichlids,40,0.25,3,EXT,REF,1.00000050002909e-06,0.0367877602317684,0.011136363790522,0.015102913987256,98.625,6.49590705834361,0.156261968845812,3.93722872425306,0.376153669631054,0.537401153701776,0.716613925355511,1.12005714139949,s10_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,99006,0.272004
46,46,2,raxml,Cichlids,40,0.25,5,INT,REF,0.00146527149103722,0.0403207760138249,0.0231674037759314,0.0295960801006295,93.8958333333333,18.649327845207,-1.43887769793327,5.19839011429435,0.422829672431987,0.709935208311294,0.724850867026264,1.27562063326053,s2_q40_miss0.25_mac5.REF.cichlids.INT.noInv,91220,0.209569
47,47,4,raxml,Cichlids,40,0,3,EXT,REF,1.00000050002909e-06,0.104907549374807,0.0106335368820272,0.0132430823430604,92.7916666666667,16.7877340396016,-0.348091586479414,4.36864656198437,0.337714608500873,0.463862048458375,0.705631336461174,1.05217489040558,s4_q40_miss0_mac3.REF.cichlids.EXT.noInv,108663,0.281971
48,48,10,raxml,Cichlids,40,0.25,5,INT,REF,0.00113392388250557,0.0423534474287497,0.019386547092722,0.0256964646002771,98.5833333333333,6.81310793370486,-3.88216754544831,5.00328910682814,0.420084025208403,0.57134227919873,0.798983342063041,1.14834141264695,s10_q40_miss0.25_mac5.REF.cichlids.INT.noInv,103649,0.224374
49,49,2,raxml,Cichlids,40,0,5,INT,REF,0.00146907263187938,0.0399427191844228,0.0237899807818687,0.0304488858772557,94.1666666666667,18.2270938537829,-1.39269815926054,5.23263466158405,0.433812261326325,0.709935208311294,0.752307339262107,1.27562063326053,s2_q40_miss0_mac5.REF.cichlids.INT.noInv,95861,0.209569
50,50,8,raxml,Cichlids,40,0,3,EXT,REF,3.81380703277447e-06,0.0303982370504165,0.00990637282857591,0.0132002391971131,98.625,6.80620805479133,0.490499898075511,4.02874372276694,0.354188491842379,0.576999133448223,0.733087808697017,1.14268455839746,s8_q40_miss0_mac3.REF.cichlids.EXT.noInv,117550,0.277349
51,51,3,raxml,Cichlids,40,0,3,EXT,REF,1.00000050002909e-06,0.0347683699456722,0.0102868300341585,0.0141758022169105,92.7083333333333,15.8690898977981,0.284678970760844,4.33959506615198,0.359679786289548,0.540229580826522,0.711122630908342,1.12288556852424,s3_q40_miss0_mac3.REF.cichlids.EXT.noInv,102402,0.277487
52,52,6,raxml,Cichlids,40,0,3,EXT,REF,1.00000050002909e-06,1.00000050002909e-06,0.0116521147136049,0.0175397770155536,97.1041666666667,9.46491749148229,4.3974177035846,4.40503277909154,0.340460255724457,0.625082394568908,0.697394394790421,1.2247089450151,s6_q40_miss0_mac3.REF.cichlids.EXT.noInv,92853,0.278644
53,53,1,raxml,Cichlids,40,0.9,10,INT,REF,0.0166824647369668,0.0527931639005688,0.0302269649491291,0.036531965864177,96.4375,13.1212127261262,-3.39578786494895,5.16374537526493,0.315749430712198,0.576999133448223,0.645227097542318,1.14268455839746,s1_q40_miss0.90_mac10.REF.cichlids.INT.noInv,10305,0.217217
54,54,3,raxml,Cichlids,40,0.25,3,EXT,REF,8.98793790731706e-05,0.107752006036295,0.00997422799059705,0.0139352821434621,95.4791666666667,10.122630184096,1.3265124791535,4.14703428183573,0.318495077935783,0.489317892581091,0.686411805896083,1.07197388027881,s3_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,94845,0.277487
55,55,6,raxml,Cichlids,40,0.25,2,INT,REF,0.0005738995895551,2.42362913166724e-05,0.00772324497106092,0.012783572058448,99.0416666666667,4.83321105250062,3.84571856404554,3.63630461409608,0.332223314053704,0.622253967444162,0.683666158672499,1.22188051789035,s6_q40_miss0.25_mac2.REF.cichlids.INT.noInv,208110,0.241146
56,56,9,raxml,Cichlids,40,0.25,3,EXT,REF,0.000115088291853584,0.114015436852004,0.0118500109830418,0.0144151418376873,95.8125,11.4327939103154,0.0514951445989229,3.83106304296361,0.321240725159367,0.489317892581091,0.67817486422533,1.0776307345283,s9_q40_miss0.25_mac3.REF.cichlids.EXT.noInv,100072,0.279127
57,57,3,raxml,Cichlids,40,0,5,INT,REF,0.00114097319462542,0.0419931342967764,0.0187238705848222,0.0251999655070021,92.2708333333333,19.3893363797791,-2.77481417078251,4.9610349245627,0.376153669631054,0.540229580826522,0.727596514249848,1.11722871427475,s3_q40_miss0_mac5.REF.cichlids.INT.noInv,103155,0.229259
58,58,3,raxml,Cichlids,40,0,10,INT,REF,0.00505939019081578,0.0690185728394471,0.030005972411298,0.0441405718952242,93,16.069000154255,-2.76470710333003,5.81395744026966,0.367916727960301,0.531744299452284,0.730342161473433,1.11440028715,s3_q40_miss0_mac10.REF.cichlids.INT.noInv,58458,0.229259
59,59,2,raxml,Cichlids,40,0,3,EXT,REF,1.00000050002909e-06,0.0305697135718238,0.0126352552160306,0.0171663397501065,94.2291666666667,15.6548403001339,-1.05099995545531,4.97497248212926,0.425575319655572,0.709935208311294,0.738579103144186,1.27562063326053,s2_q40_miss0_mac3.REF.cichlids.EXT.noInv,96534,0.271124
60,60,2,raxml,Cichlids,40,0.75,10,INT,REF,0.00669027292076327,0.0524227480287405,0.031051466204239,0.0410358688917727,89.4166666666667,19.8524700572973,-1.05326784798611,5.69312839576209,0.406355789090481,0.692964645562817,0.719359572579095,1.26996377901104,s2_q40_miss0.75_mac10.REF.cichlids.INT.noInv,28381,0.209569
61,61,8,raxml,Cichlids,40,0.25,2,INT,REF,0.000308144403216171,0.0518876024917354,0.0075063550272688,0.0100983087367069,99.9583333333333,0.201940936523459,-5.69209553295138,3.41762699613264,0.439303555773493,0.576999133448223,0.840168050416806,1.14268455839746,s8_q40_miss0.25_mac2.REF.cichlids.INT.noInv,230693,0.234123
62,62,6,raxml,Cichlids,40,0,5,INT,REF,0.000424828731901998,0.000151205974673676,0.020479447781264,0.0299007958768429,97.3958333333333,11.3620113280369,4.39979461771886,4.83799737139015,0.359679786289548,0.644881384442131,0.705631336461174,1.23319422638934,s6_q40_miss0_mac5.REF.cichlids.INT.noInv,97788,0.241146
63,63,2,raxml,Cichlids,40,0.9,10,INT,REF,0.0159934677243904,0.0393582379356411,0.029111450873432,0.0370550156119321,89.2291666666667,20.3681432355836,-1.9811113546604,5.73281815690816,0.395373200196144,0.681650937063832,0.719359572579095,1.26430692476155,s2_q40_miss0.90_mac10.REF.cichlids.INT.noInv,8141,0.209569
64,64,8,raxml,Cichlids,40,0.75,10,INT,REF,0.00416627473000288,0.0683643287752098,0.0262701502744637,0.0360699897802858,92.9583333333333,18.0023146659904,-0.874845579607305,5.11562812569065,0.43106661410274,0.664680374315355,0.798983342063041,1.21339523651612,s8_q40_miss0.75_mac10.REF.cichlids.INT.noInv,40316,0.234123
65,65,5,raxml,Cichlids,40,0,5,INT,REF,0.00145472114902848,0.0418797683350668,0.0186819823527949,0.028124228967579,94.9375,12.7152216536767,-2.01297192974721,4.74120915416218,0.387136258525391,0.605283404695685,0.782509458721535,1.17662568389442,s5_q40_miss0_mac5.REF.cichlids.INT.noInv,105540,0.229767
66,66,7,raxml,Cichlids,40,0.25,2,INT,REF,1.00000050002909e-06,0.118021655879876,0.00736843434793185,0.0139547463838568,97.2083333333333,10.3120634444455,-2.36047403403,4.0460440933791,0.323986372382951,0.678822509939086,0.626007566977228,1.23885108063883,s7_q40_miss0.25_mac2.REF.cichlids.INT.noInv,258730,0.211928
67,67,3,raxml,Cichlids,40,0.25,5,INT,REF,0.00107195117702298,0.0413482627379148,0.0180606854089679,0.0242986299356726,91.7708333333333,19.1502897965221,-2.61618619956712,4.93144953633649,0.370662375183885,0.531744299452284,0.733087808697017,1.11440028715,s3_q40_miss0.25_mac5.REF.cichlids.INT.noInv,98620,0.229259
68,68,10,raxml,Cichlids,40,0,5,INT,REF,0.00114679536678337,0.0442187820631138,0.0199951817425099,0.0264602333037161,98.2708333333333,8.45699907374556,-3.96104722186631,5.03281567574915,0.420084025208403,0.57134227919873,0.798983342063041,1.14834141264695,s10_q40_miss0_mac5.REF.cichlids.INT.noInv,107851,0.224374
69,69,8,raxml,Cichlids,40,0.25,0,INT,REF,0.000308144403216171,0.0518876024917354,0.0075063550272688,0.0100983087367069,99.9583333333333,0.201940936523459,-5.69209553295138,3.41762699613264,0.439303555773493,0.576999133448223,0.840168050416806,1.14268455839746,s8_q40_miss0.25_mac0.REF.cichlids.INT.noInv,230693,0.234123
70,70,2,raxml,Cichlids,40,0.5,10,INT,REF,0.00695597700570629,0.0538951074389136,0.0326022394293529,0.0443468842754444,93.1875,13.4886181334092,-0.686669260906958,5.75748853094469,0.406355789090481,0.692964645562817,0.724850867026264,1.26996377901104,s2_q40_miss0.50_mac10.REF.cichlids.INT.noInv,48351,0.209569
71,71,1,raxml,Cichlids,40,0.25,2,INT,REF,0.000404628596640503,0.0478250934766561,0.00799042713190443,0.0112074011278191,98.2083333333333,8.84850830879308,-5.37471748310487,2.8657604805284,0.343205902948042,0.562856997824492,0.67817486422533,1.12854242277373,s1_q40_miss0.25_mac2.REF.cichlids.INT.noInv,249947,0.217217
72,72,7,raxml,Cichlids,40,0.75,10,INT,REF,0.00480125992413138,0.0466033286330532,0.0289783073602318,0.0394632893176749,94,15.4644410235292,-1.08903680044587,5.96934374313407,0.323986372382951,0.678822509939086,0.626007566977228,1.23885108063883,s7_q40_miss0.75_mac10.REF.cichlids.INT.noInv,37002,0.211928
73,73,6,raxml,Cichlids,40,0.75,10,INT,REF,0.00208062491641121,0.000538491556494128,0.0274322689759208,0.0385136397419691,94.3333333333333,16.045591073806,2.32906480791178,5.47636916342853,0.354188491842379,0.644881384442131,0.694648747566836,1.23319422638934,s6_q40_miss0.75_mac10.REF.cichlids.INT.noInv,28064,0.241146
74,74,4,raxml,Cichlids,40,0.25,2,INT,REF,0.000287497429260721,0.0479140592769276,0.00746904535620979,0.0107343881566307,93.3333333333333,17.2556908076213,-6.37545151032074,4.04400661735003,0.39262755297256,0.520430590953299,0.76054428093286,1.10874343290051,s4_q40_miss0.25_mac2.REF.cichlids.INT.noInv,237603,0.232505
75,75,1,raxml,Cichlids,40,0.5,10,INT,REF,0.00949379320522106,0.0754112324727696,0.0344011144454811,0.0437872389839474,97.2708333333333,9.92683786152861,-3.1145803663272,5.47576239209616,0.315749430712198,0.576999133448223,0.645227097542318,1.14268455839746,s1_q40_miss0.50_mac10.REF.cichlids.INT.noInv,53977,0.217217
76,76,8,raxml,Cichlids,40,0.9,10,INT,REF,0.00820728310809068,0.0420707681696098,0.0235380610197289,0.0324345539488136,93.4791666666667,17.9324851825589,-2.22763940628417,5.19882693377538,0.444794850220662,0.582655987697715,0.845659344863975,1.14834141264695,s8_q40_miss0.90_mac10.REF.cichlids.INT.noInv,13979,0.234123
77,77,9,raxml,Cichlids,40,0,5,INT,REF,0.00211231685818123,0.0452390107975482,0.0221812282847165,0.0268263076129105,97.9375,6.14161337871548,-3.95872847882893,4.91865860833056,0.39262755297256,0.551543289325507,0.777018164274366,1.13985613127271,s9_q40_miss0_mac5.REF.cichlids.INT.noInv,108446,0.220617
78,78,6,raxml,Cichlids,40,0.9,10,INT,REF,0.00302511702977092,1.00000050002909e-06,0.0253500523607871,0.0342021376103145,87.9166666666667,22.1405888304459,1.99226392207475,5.58617508468236,0.351442844618795,0.701449926937055,0.686411805896083,1.28410591463477,s6_q40_miss0.90_mac10.REF.cichlids.INT.noInv,6922,0.241146
79,79,5,raxml,Cichlids,40,0.75,10,INT,REF,0.00727647563675678,0.0678765754401143,0.0289207790840588,0.0393980094199618,92.375,17.2251980194281,-2.61622100316563,5.44681651344158,0.354188491842379,0.57134227919873,0.755052986485692,1.14834141264695,s5_q40_miss0.75_mac10.REF.cichlids.INT.noInv,31446,0.229767
80,80,9,raxml,Cichlids,40,0.25,5,INT,REF,0.00170260467081042,0.0453208866713855,0.0214327212521933,0.0258214189269421,95.75,11.3240470925015,-3.81225367742746,4.84951247333396,0.39262755297256,0.551543289325507,0.771526869827198,1.13985613127271,s9_q40_miss0.25_mac5.REF.cichlids.INT.noInv,102823,0.220617
81,81,4,raxml,Cichlids,40,0.75,10,INT,REF,0.00393659757366355,0.0634907532607478,0.0269443969702536,0.0374052408774117,92.625,16.9274107306036,-1.54282195863828,5.84682822748452,0.406355789090481,0.53457272657703,0.768781222603613,1.11722871427475,s4_q40_miss0.75_mac10.REF.cichlids.INT.noInv,42005,0.232505
