,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps
1,1,1,raxml,40,0.25,0,EXT,REF,7.59608590652018e-05,0.0694236746680931,0.00813190399604744,0.0129650657816433,95.8541666666667,13.6599890709488,1.85094028213685,2.94053185142989,0.230634366781084,0.367695526217005,0.604042389188553,0.978635785162182,s1_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,299550
2,1,1,raxml,40,0.25,0,EXT,REF,7.59608590652018e-05,0.0694236746680931,0.00813190399604744,0.0129650657816433,95.8541666666667,13.6599890709488,1.85094028213685,2.94053185142989,0.230634366781084,0.367695526217005,0.604042389188553,0.978635785162182,s1_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,137040
3,2,5,raxml,40,0.25,0,EXT,REF,6.33230513011192e-05,0.0648753356596926,0.00893397418208579,0.0124498205980459,93.2291666666667,19.6373933176493,1.34243830374854,1.95792927672624,0.280056016805602,0.398808224589213,0.680920511448915,0.992777920785913,s5_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,297272
4,2,5,raxml,40,0.25,0,EXT,REF,6.33230513011192e-05,0.0648753356596926,0.00893397418208579,0.0124498205980459,93.2291666666667,19.6373933176493,1.34243830374854,1.95792927672624,0.280056016805602,0.398808224589213,0.680920511448915,0.992777920785913,s5_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,150294
5,3,3,raxml,40,0.25,0,EXT,REF,0.000117809058789125,0.0423736153323874,0.00816109510602395,0.0118656766917593,97.2291666666667,10.4173333120014,0.838374753716728,1.60510949524131,0.304766841817861,0.424264068711929,0.777018164274366,1.02954747340761,s3_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,279046
6,3,3,raxml,40,0.25,0,EXT,REF,0.000117809058789125,0.0423736153323874,0.00816109510602395,0.0118656766917593,97.2291666666667,10.4173333120014,0.838374753716728,1.60510949524131,0.304766841817861,0.424264068711929,0.777018164274366,1.02954747340761,s3_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,160173
7,4,6,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,2.00000100005818e-06,0.00661552305366849,0.0104976098878751,97.7708333333333,10.3702511989381,4.02843785225369,3.82238148858785,0.296529900147108,0.752361615182487,0.626007566977228,1.29541962313375,s6_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,176036
8,5,3,raxml,40,0.25,0,INT,REF,0.000381466845923743,0.0515002982801319,0.0083883160667992,0.0112453668059375,95.9791666666667,14.7034365404585,-5.98295565999374,2.4664578140109,0.351442844618795,0.472347329832614,0.829185461522469,1.0776307345283,s3_q40_miss0.25_maf0.REF.cichlids.INT.noInv,400072
9,5,3,raxml,40,0.25,0,INT,REF,0.000381466845923743,0.0515002982801319,0.0083883160667992,0.0112453668059375,95.9791666666667,14.7034365404585,-5.98295565999374,2.4664578140109,0.351442844618795,0.472347329832614,0.829185461522469,1.0776307345283,s3_q40_miss0.25_maf0.REF.cichlids.INT.noInv,241134
10,6,2,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.072546711978319,0.00745291706778336,0.0119187576576521,92.2291666666667,16.3917981350214,0.834149141500581,1.90612676853877,0.359679786289548,0.472347329832614,0.733087808697017,1.08894444302728,s2_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,258110
11,6,2,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.072546711978319,0.00745291706778336,0.0119187576576521,92.2291666666667,16.3917981350214,0.834149141500581,1.90612676853877,0.359679786289548,0.472347329832614,0.733087808697017,1.08894444302728,s2_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,146630
12,7,4,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.056666517761,0.0073406863853961,0.0112302016720299,94.2916666666667,16.7636363461541,-1.21752538434582,2.30360464841491,0.288292958476355,0.390322943214974,0.711122630908342,1.00126320216015,s4_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,282088
13,7,4,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.056666517761,0.0073406863853961,0.0112302016720299,94.2916666666667,16.7636363461541,-1.21752538434582,2.30360464841491,0.288292958476355,0.390322943214974,0.711122630908342,1.00126320216015,s4_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,170834
14,8,7,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.0568240952556212,0.00704765914145947,0.0132899815604987,99.2083333333333,5.06115087968639,1.09847537435337,3.3501383476627,0.277310369582018,0.599626550446192,0.601296741964969,1.19359624664289,s7_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,206000
15,9,8,raxml,40,0.25,0,EXT,REF,1.00000050002909e-06,0.0482728255589719,0.00722215228814357,0.0116396248363048,94.2291666666667,15.4330945633537,0.399897066112249,2.19463825151576,0.31025813626503,0.497803173955329,0.656209686436656,1.06914545315406,s8_q40_miss0.25_maf0.REF.cichlids.EXT.noInv,154057
16,10,3,raxml,40,0,0,INT,REF,0.0756860733479524,1.00000050002909e-06,0.013161653813735,0.0380830886353856,94.0833333333333,12.3181812233983,-5.55576396128427,2.83916770323854,0.302021194594277,1.02106219203337,0.636990155871565,1.53017907448769,s3_q40_miss0_maf0.REF.cichlids.INT.noInv,763147
17,10,3,raxml,40,0,0,INT,REF,0.0756860733479524,1.00000050002909e-06,0.013161653813735,0.0380830886353856,94.0833333333333,12.3181812233983,-5.55576396128427,2.83916770323854,0.302021194594277,1.02106219203337,0.636990155871565,1.53017907448769,s3_q40_miss0_maf0.REF.cichlids.INT.noInv,511755
18,11,5,raxml,40,0.25,0,INT,REF,0.000484300156016018,0.0582712271272276,0.00911593118172138,0.0115988161325706,96.8333333333333,10.5534774612363,-6.10423829294692,2.79573565056079,0.365171080736716,0.480832611206852,0.755052986485692,1.06348859890457,s5_q40_miss0.25_maf0.REF.cichlids.INT.noInv,391726
19,11,5,raxml,40,0.25,0,INT,REF,0.000484300156016018,0.0582712271272276,0.00911593118172138,0.0115988161325706,96.8333333333333,10.5534774612363,-6.10423829294692,2.79573565056079,0.365171080736716,0.480832611206852,0.755052986485692,1.06348859890457,s5_q40_miss0.25_maf0.REF.cichlids.INT.noInv,226726
20,12,1,raxml,40,0,0,EXT,REF,2.01143575710194,1.00000050002909e-06,0.0376147137093827,0.202828664834383,93.3125,14.4577980872578,4.30659203162234,4.81575754597691,0.612279330859306,1.23036579926459,1.02412641439696,1.70554155622195,s1_q40_miss0_maf0.REF.cichlids.EXT.noInv,654903
21,12,1,raxml,40,0,0,EXT,REF,2.01143575710194,1.00000050002909e-06,0.0376147137093827,0.202828664834383,93.3125,14.4577980872578,4.30659203162234,4.81575754597691,0.612279330859306,1.23036579926459,1.02412641439696,1.70554155622195,s1_q40_miss0_maf0.REF.cichlids.EXT.noInv,396574
22,13,1,raxml,40,0.5,0,EXT,REF,6.47893630914904e-05,0.057060856528362,0.00778688378618479,0.0120861289713454,94.9791666666667,15.6347806268021,1.64520560509059,2.86720036367823,0.255345191793343,0.367695526217005,0.672683569778162,0.978635785162182,s1_q40_miss0.50_maf0.REF.cichlids.EXT.noInv,253551
