,tree.num,simulation,method,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps
1,1,10,raxml,40,0.25,0,EXT,REF,0.264899373816518,0.264899373816518,0.003202876239888,0.0264616745026463,NA,NA,1.94423457569331,1.94423457569331,0.32947766683012,0.32947766683012,0.675429217001746,0.675429217001746,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac0_EXT.noInv.phy,250373
2,2,10,raxml,40,0.25,10,EXT,REF,0.026863523782025,0.026863523782025,0.00866827627736439,0.0270288108446131,NA,NA,-2.78735287794806,-2.78735287794806,0.370662375183885,0.370662375183885,0.705631336461174,0.705631336461174,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac10_EXT.noInv.phy,27064
3,3,10,raxml,40,0.25,1,EXT,REF,0.264899373816518,0.264899373816518,0.003202876239888,0.0264616745026463,NA,NA,1.94423457569331,1.94423457569331,0.32947766683012,0.32947766683012,0.675429217001746,0.675429217001746,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac1_EXT.noInv.phy,250373
4,4,10,raxml,40,0.25,2,EXT,REF,0.264899373816518,0.264899373816518,0.003202876239888,0.0264616745026463,NA,NA,1.94423457569331,1.94423457569331,0.32947766683012,0.32947766683012,0.675429217001746,0.675429217001746,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac2_EXT.noInv.phy,250373
5,5,10,raxml,40,0.25,3,EXT,REF,0.0982682111700983,0.0982682111700983,0.005653882508686,0.014854083688292,NA,NA,0.354191862308684,0.354191862308684,0.313003783488614,0.313003783488614,0.664446628107409,0.664446628107409,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac3_EXT.noInv.phy,49996
6,6,10,raxml,40,0.25,4,EXT,REF,0.0619067156248537,0.0619067156248537,0.0065479954422695,0.0161142593891192,NA,NA,-1.2567795036767,-1.2567795036767,0.313003783488614,0.313003783488614,0.664446628107409,0.664446628107409,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac4_EXT.noInv.phy,43028
7,7,10,raxml,40,0.25,5,EXT,REF,0.0487136820174088,0.0487136820174088,0.00704207199400553,0.0176438688536485,NA,NA,-1.86685658450084,-1.86685658450084,0.340460255724457,0.340460255724457,0.680920511448915,0.680920511448915,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.25_mac5_EXT.noInv.phy,39120
8,8,10,raxml,40,0.5,0,EXT,REF,0.266126914218487,0.266126914218487,0.0032556595533881,0.0265805914270209,NA,NA,-0.325579699196948,-0.325579699196948,0.365171080736716,0.365171080736716,0.771526869827198,0.771526869827198,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac0_EXT.noInv.phy,187159
9,9,10,raxml,40,0.5,10,EXT,REF,0.0278105790039706,0.0278105790039706,0.00824098703808327,0.0250139340692759,NA,NA,-2.72370460890358,-2.72370460890358,0.378899316854638,0.378899316854638,0.702885689237589,0.702885689237589,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac10_EXT.noInv.phy,24294
10,10,10,raxml,40,0.5,1,EXT,REF,0.266126914218487,0.266126914218487,0.0032556595533881,0.0265805914270209,NA,NA,-0.325579699196948,-0.325579699196948,0.365171080736716,0.365171080736716,0.771526869827198,0.771526869827198,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac1_EXT.noInv.phy,187159
11,11,10,raxml,40,0.5,2,EXT,REF,0.266126914218487,0.266126914218487,0.0032556595533881,0.0265805914270209,NA,NA,-0.325579699196948,-0.325579699196948,0.365171080736716,0.365171080736716,0.771526869827198,0.771526869827198,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac2_EXT.noInv.phy,187159
12,12,10,raxml,40,0.5,3,EXT,REF,0.0954381753600804,0.0954381753600804,0.00549235737369293,0.0138664270491054,NA,NA,0.406502859168139,0.406502859168139,0.304766841817861,0.304766841817861,0.672683569778162,0.672683569778162,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac3_EXT.noInv.phy,40030
13,13,10,raxml,40,0.5,4,EXT,REF,0.0601693628850472,0.0601693628850472,0.00627572097919942,0.0145692129603891,NA,NA,-1.03153736256018,-1.03153736256018,0.302021194594277,0.302021194594277,0.664446628107409,0.664446628107409,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac4_EXT.noInv.phy,34813
14,14,10,raxml,40,0.5,5,EXT,REF,0.0473262520436809,0.0473262520436809,0.006726649995971,0.0159678052589659,NA,NA,-1.31663688195958,-1.31663688195958,0.343205902948042,0.343205902948042,0.689157453119668,0.689157453119668,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.50_mac5_EXT.noInv.phy,32419
15,15,10,raxml,40,0.75,0,EXT,REF,0.273417492265778,0.273417492265778,0.00337091102841458,0.0273060959077998,NA,NA,-0.1361511110409,-0.1361511110409,0.32947766683012,0.32947766683012,0.680920511448915,0.680920511448915,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.75_mac0_EXT.noInv.phy,133376
16,16,10,raxml,40,0.75,10,EXT,REF,0.0279744189259548,0.0279744189259548,0.00804940942750234,0.0231268799661236,NA,NA,-2.08484696345221,-2.08484696345221,0.370662375183885,0.370662375183885,0.700140042014005,0.700140042014005,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.75_mac10_EXT.noInv.phy,18784
17,17,10,raxml,40,0.75,1,EXT,REF,0.273417492265778,0.273417492265778,0.00337091102841458,0.0273060959077998,NA,NA,-0.1361511110409,-0.1361511110409,0.32947766683012,0.32947766683012,0.680920511448915,0.680920511448915,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.75_mac1_EXT.noInv.phy,133376
18,18,10,raxml,40,0.75,2,EXT,REF,0.273417492265778,0.273417492265778,0.00337091102841458,0.0273060959077998,NA,NA,-0.1361511110409,-0.1361511110409,0.32947766683012,0.32947766683012,0.680920511448915,0.680920511448915,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.75_mac2_EXT.noInv.phy,133376
19,19,10,raxml,40,0.75,3,EXT,REF,0.094088456757301,0.094088456757301,0.00550389249914574,0.0135562293181217,NA,NA,-0.218911459485377,-0.218911459485377,0.291038605699939,0.291038605699939,0.669937922554577,0.669937922554577,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.75_mac3_EXT.noInv.phy,29642
20,20,10,raxml,40,0.75,4,EXT,REF,0.0590240231549575,0.0590240231549575,0.00624644657566046,0.014036170560287,NA,NA,-1.63034804140109,-1.63034804140109,0.302021194594277,0.302021194594277,0.680920511448915,0.680920511448915,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.75_mac4_EXT.noInv.phy,25915
21,21,10,raxml,40,0.75,5,EXT,REF,0.0472464270429308,0.0472464270429308,0.00665022222405283,0.0152488922931265,NA,NA,-2.03640937165849,-2.03640937165849,0.291038605699939,0.291038605699939,0.669937922554577,0.669937922554577,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.75_mac5_EXT.noInv.phy,24279
22,22,10,raxml,40,0.9,0,EXT,REF,0.270748836144339,0.270748836144339,0.00332495194552197,0.0270379076306598,NA,NA,-0.826315082181266,-0.826315082181266,0.304766841817861,0.304766841817861,0.661700980883824,0.661700980883824,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.90_mac0_EXT.noInv.phy,86841
23,23,10,raxml,40,0.9,10,EXT,REF,0.0293896320586755,0.0293896320586755,0.0078894214295056,0.0214539511648167,NA,NA,-2.21549489500451,-2.21549489500451,0.337714608500873,0.337714608500873,0.689157453119668,0.689157453119668,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.90_mac10_EXT.noInv.phy,12202
24,24,10,raxml,40,0.9,1,EXT,REF,0.270748836144339,0.270748836144339,0.00332495194552197,0.0270379076306598,NA,NA,-0.826315082181266,-0.826315082181266,0.304766841817861,0.304766841817861,0.661700980883824,0.661700980883824,s10_q40.EXT-lates-emp.phylip_tree_files/OUTFILE_s10_q40_miss0.90_mac1_EXT.noInv.phy,86841
