,tree.num,simulation,method,height,quality,missing,maf,int,noref,tree.height,ingroup.tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,tree,snps,dxy
253,253,3,raxml,Cichlids,40,0.5,3,INT,REF,0.000402796040146625,0.0187423758066944,0.00991210459790505,0.0136415636418085,91.7916666666667,19.5937010431255,-2.81666027160184,4.19452321625518,0.367916727960301,0.551543289325507,0.713868278131927,1.12854242277373,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0.50_mac3_INT.noInv.phy,124777,0.229259
254,254,3,raxml,Cichlids,40,0.75,0,INT,REF,0.000352742983917398,0.0431744975901862,0.00666616481803352,0.00961405161602692,89.6458333333333,22.4314459967151,-4.66217213846439,3.44483789586436,0.343205902948042,0.526087445202791,0.694648747566836,1.11440028715,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0.75_mac0_INT.noInv.phy,112792,0.229259
255,255,3,raxml,Cichlids,40,0.75,1,INT,REF,0.000352742983917398,0.0431744975901862,0.00666616481803352,0.00961405161602692,89.6458333333333,22.4314459967151,-4.66217213846439,3.44483789586436,0.343205902948042,0.526087445202791,0.694648747566836,1.11440028715,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0.75_mac1_INT.noInv.phy,112792,0.229259
256,256,3,raxml,Cichlids,40,0.75,2,INT,REF,0.000352742983917398,0.0431744975901862,0.00666616481803352,0.00961405161602692,89.6458333333333,22.4314459967151,-4.66217213846439,3.44483789586436,0.343205902948042,0.526087445202791,0.694648747566836,1.11440028715,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0.75_mac2_INT.noInv.phy,112792,0.229259
257,257,3,raxml,Cichlids,40,0.75,3,INT,REF,0.00053663651440324,0.0175006847723364,0.00921837229881258,0.0129610142856177,91.3541666666667,17.972188423717,-2.53557080444046,3.97578753693127,0.34869719739521,0.531744299452284,0.705631336461174,1.12005714139949,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0.75_mac3_INT.noInv.phy,77145,0.229259
258,258,3,raxml,Cichlids,40,0.9,0,INT,REF,0.000748026276006255,0.0338265823473298,0.00585917347200881,0.00832468362983499,88.5833333333333,21.0842618863165,-5.03946616714926,3.12724337917443,0.370662375183885,0.53457272657703,0.727596514249848,1.11157186002525,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0.90_mac0_INT.noInv.phy,38036,0.229259
259,259,3,raxml,Cichlids,40,0.9,1,INT,REF,0.000748026276006255,0.0338265823473298,0.00585917347200881,0.00832468362983499,88.5833333333333,21.0842618863165,-5.03946616714926,3.12724337917443,0.370662375183885,0.53457272657703,0.727596514249848,1.11157186002525,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0.90_mac1_INT.noInv.phy,38036,0.229259
260,260,3,raxml,Cichlids,40,0.9,2,INT,REF,0.000748026276006255,0.0338265823473298,0.00585917347200881,0.00832468362983499,88.5833333333333,21.0842618863165,-5.03946616714926,3.12724337917443,0.370662375183885,0.53457272657703,0.727596514249848,1.11157186002525,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0.90_mac2_INT.noInv.phy,38036,0.229259
261,261,3,raxml,Cichlids,40,0.9,3,INT,REF,0.00102355498314123,0.0133178892332299,0.00821260445098261,0.0117018033688575,88.8541666666667,19.6035055303386,-2.63277537114768,3.74462583867551,0.367916727960301,0.551543289325507,0.713868278131927,1.12854242277373,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0.90_mac3_INT.noInv.phy,25971,0.229259
262,262,3,raxml,Cichlids,40,0,0,INT,REF,0.0264687277447753,0.000210228728009972,0.0113655394410084,0.0391145059040786,90.0625,19.1804490995277,3.06875554619742,3.43552383066318,0.389881905748975,1.21905209076561,0.669937922554577,1.69422784772297,s3_q40.INT-cichlids-emp.phylip_tree_files/OUTFILE_s3_q40_miss0_mac0_INT.noInv.phy,492054,0.229259
