,tree.num,simulation,height,method,quality,missing,maf,sites,taxa_ref,int,noref,tree.height,Avg.BLs,SD.BLs,mean.support,sd.support,gamma,ingroup.gamma,colless,ingroup.colless,sackin,ingroup.sackin,RF.Dist.ML,weighted.rf,std.gamma,std.colless,std.sackin,std.sites,std.ingroup.colless,std.ingroup.gamma,std.ingroup.sackin,Q.Dist.ML,CI.Dist.ML
1,1,10,SHORT,raxml,40,0.25,0.01,42532,0_0_0,EXT,REF,0.16096673404213,0.0688839293313451,0.049902692000342,61.6122448979592,32.1788278518468,-13.373744542595,-13.1374208509025,0.392103764062946,0.312,852,798,136,550602.938421179,-22.6878446276691,-0.111325943063098,-0.171422248610434,0.352392394051121,-83,-6.19669779278166,-61,0.0850757728834108,0.33144441297279
2,2,10,SHORT,raxml,40,0.25,0.02,33078,0_0_0,EXT,REF,0.179412376737059,0.0810208273952251,0.0580029614974843,58.1530612244898,32.7040311020845,-13.3069787649241,-13.0533176571925,0.261074114263017,0.303,629,793,150,550602.938421179,-22.5983251756017,-0.22560744213672,-0.326096346494561,0.274062720079539,-83,-6.19669779278166,-61,0.0921001487903892,0.34237415042344
3,3,10,SHORT,raxml,40,0.25,0.03,29018,0_0_0,EXT,REF,0.196530654250691,0.0887755810575066,0.0638473673801747,61.5714285714286,28.7900326394647,-13.2432012408326,-12.9867095405522,0.399985246757679,0.31,773,796,148,550602.938421179,-22.6838116266595,-0.0866963096420584,-0.184229657989374,0.240424209784995,-83,-6.19669779278166,-61,0.0859552894064917,0.343078836619343
4,4,10,SHORT,raxml,40,0.25,0.04,26386,0_0_0,EXT,REF,0.211548846445374,0.0956813944311061,0.0679807928394614,58.1224489795918,32.2315288128064,-13.2064906925744,-12.9499157890538,0.389148208052422,0.292,847,786,148,550602.938421179,-23.3696635165445,-0.179303731305166,-0.18127410197885,0.218617175525084,-83,-6.19669779278166,-61,0.0880163118352652,0.34325760414707
5,5,10,SHORT,raxml,40,0.25,0.05,24589,0_0_0,EXT,REF,0.228722228824042,0.101420469151443,0.072523156111561,53.3571428571429,34.950406690553,-12.9665355665845,-12.831454791684,0.297525971726155,0.344,684,816,156,550602.938421179,-22.729150974423,-0.209844476747255,-0.260088928926175,0.203728406313435,-83,-6.19669779278166,-61,0.217449255129595,0.41832726723241
6,6,10,SHORT,raxml,40,0.25,0,118092,0_0_0,EXT,REF,2.02870308277631,0.0479852760555734,0.143620686868087,64.8673469387755,31.3837694460254,-13.0562014486947,-13.2599960258813,0.258118558252492,0.263,669,783,144,550602.938421179,-22.4915100761277,-0.228562998147245,-0.286688933020898,0.978433240813621,-83,-6.19669779278166,-61,0.163921208447375,0.362083177132484
7,7,10,SHORT,raxml,40,0.5,0.01,42484,0_0_0,EXT,REF,0.161888882390535,0.0690467009083369,0.0503276743002429,61.0918367346939,33.26807290695,-13.3855698752451,-13.1749512162105,0.407866729452411,0.318,858,800,148,550602.938421179,-23.2828679707006,-0.154674097884127,-0.10640001637889,0.351994697377688,-83,-6.19669779278166,-61,0.0869543280858698,0.356115981364122
8,8,10,SHORT,raxml,40,0.5,0.02,33030,0_0_0,EXT,REF,0.179784691481733,0.0808923425627334,0.058279676837939,56,31.8954477571466,-13.2853953900361,-13.0589911427368,0.236444480841978,0.288,649,786,146,550602.938421179,-18.6596092406526,-0.25023707555776,-0.306392639757729,0.273665023406106,-83,-6.19669779278166,-61,0.0882247408414311,0.332216876176859
9,9,10,SHORT,raxml,40,0.5,0.03,28977,0_0_0,EXT,REF,0.203456385391539,0.0886166056944331,0.0629775123863984,54.3571428571429,32.0888746497701,-12.8856050626805,-12.7215010023732,0.24432596353671,0.361,596,851,152,550602.938421179,-19.6970429106098,-0.242355592863027,-0.357622277273491,0.240084510543105,-83,-6.19669779278166,-61,0.125246483832057,0.358587157101128
10,10,10,SHORT,raxml,40,0.5,0.04,26346,0_0_0,EXT,REF,0.211299965553836,0.0958365882597362,0.0684637552272469,57.9387755102041,32.8501177096325,-13.1562068016389,-12.8377210490203,0.404911173441887,0.323,899,807,146,550602.938421179,-20.9201847874606,-0.0679777882420686,-0.139896317831503,0.218285761630556,-83,-6.19669779278166,-61,0.0890822143438834,0.352086510901385
11,11,10,SHORT,raxml,40,0.5,0.05,24549,0_0_0,EXT,REF,0.219987089878323,0.101232178027834,0.0721693407340597,57.3673469387755,32.0689938427226,-13.043600614969,-12.8257022541895,0.466977849662906,0.375,941,857,150,550602.938421179,-21.8599478658428,-0.101474089694682,-0.0817703829578506,0.203396992418907,-83,-6.19669779278166,-61,0.105154270529094,0.376939655277308
12,12,10,SHORT,raxml,40,0.5,0,118044,0_0_0,EXT,REF,2.03196012653304,0.0480521317432407,0.143818547532498,63.4897959183673,33.0352029972774,-12.9080359038489,-13.1372140838319,0.255163002241968,0.226,653,760,140,550602.938421179,-16.2366032624846,-0.187185213999899,-0.282748191673531,0.978035544140188,-83,-6.19669779278166,-61,0.182547315956085,0.376104603260286
13,13,10,SHORT,raxml,40,0.75,0.01,42281,0_0_0,EXT,REF,0.164505006612713,0.0694440954046886,0.0503654382498224,63.5408163265306,32.8803417493423,-13.1363761553265,-12.9822100500434,0.42560006551556,0.344,920,842,136,550602.938421179,-20.121755282802,-0.0610814908841775,-0.0256148187578809,0.35031277186296,-83,-6.19669779278166,-61,0.112120844737535,0.347464607982053
14,14,10,SHORT,raxml,40,0.75,0.02,32867,0_0_0,EXT,REF,0.182082247284541,0.0806669518443046,0.0580086415564637,57.3265306122449,32.1115245748263,-13.0936881143224,-12.9261197012427,0.219696330115671,0.337,569,837,150,550602.938421179,-21.5710033235879,-0.266985226284066,-0.40097043209452,0.272314511785907,-83,-6.19669779278166,-61,0.115084651322275,0.360976194701732
15,15,10,SHORT,raxml,40,0.75,0.03,28816,0_0_0,EXT,REF,0.200257894623238,0.088827513387182,0.0639625436335997,55.4183673469388,32.4675646137209,-12.8507179687929,-12.7339095422288,0.290629674368264,0.384,718,874,156,550602.938421179,-22.0238011262141,-0.196051882031473,-0.255163002241968,0.238750569617631,-83,-6.19669779278166,-61,0.117999473416729,0.373406800911572
16,16,10,SHORT,raxml,40,0.75,0.04,26191,0_0_0,EXT,REF,0.215898260856546,0.0955329490151205,0.0679940779584486,57.3877551020408,31.6578462621832,-12.9963294514617,-12.8052110495624,0.214770403431463,0.329,541,833,142,550602.938421179,-22.3720956547645,-0.272896338305116,-0.412792656136619,0.217001532789262,-83,-6.19669779278166,-61,0.108698788246172,0.337734943232509
17,17,10,SHORT,raxml,40,0.75,0.05,24398,0_0_0,EXT,REF,0.205568782268966,0.101118668617122,0.0715340669702176,57.3571428571429,30.1235428701796,-13.0633889913686,-12.6394426288784,0.487666741736579,0.415,937,893,154,550602.938421179,-22.6135042321479,0.000985185336841554,-0.0226592627473562,0.202145904967066,-83,-6.19669779278166,-61,0.110097785288733,0.363326804490437
