,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
1,2,500000,raxml,0,0.25,0.01,EXT,NOREF,0_0_0,1761,0.262287756925827,-25.3732810081116,649,1104,0.000117572471475054,0.00145231803917137,0.00200352739227536,30,-25.3732810081116,552,1104,NA,NA,25943314.0975147,-19.0079494528208,81,81
2,2,500000,raxml,0,0.25,0.01,EXT,REF,0_0_0,1765,0.262883526958594,-30.5052260444562,521,1006,0.00213959875982913,0.00148974906474789,0.00204951420750027,30,13.1270415033358,422,910,NA,NA,28443314.1593111,-25.7732948263645,-49,-49
3,2,500000,raxml,0,0.25,0.02,EXT,NOREF,0_0_0,901,0.134197199880846,-23.6525851920341,695,1129,1.00000050002909e-06,0.00236088295325582,0.00392147814201904,48,-23.6525851920341,694,1129,NA,NA,25943314.305018,-17.2872536367434,126,126
4,2,500000,raxml,0,0.25,0.02,EXT,REF,0_0_0,902,0.134346142389038,-30.2518314084263,462,1033,0.00438682257925137,0.00246138307340956,0.00407649084359822,42,-368.77443439599,458,932,NA,NA,28443314.2499465,-25.5199001903347,-108,-13
5,2,500000,raxml,0,0.25,0.03,EXT,NOREF,0_0_0,598,0.0890676198987191,-25.1454904281713,716,1049,1.00000050002909e-06,0.00316857519745869,0.00609751096831447,56,-25.1454904281713,716,1145,NA,NA,25943314.3961005,-18.7801588728806,246,245
6,2,500000,raxml,0,0.25,0.03,EXT,REF,0_0_0,598,0.0890676198987191,-30.2444744658463,585,958,0.00699670581231144,0.00330866203397825,0.00633475149335373,58,-32.3525758419948,486,950,NA,NA,28443314.4164089,-25.5125432477546,-80,15
7,2,500000,raxml,0,0.25,0.04,EXT,NOREF,0_0_0,487,0.0725350014894251,-26.401001259667,735,1071,1.00000050002909e-06,0.00344444816972955,0.00728604639170752,64,-26.401001259667,734,1071,NA,NA,25943314.5093151,-20.0356697043763,263,166
8,2,500000,raxml,0,0.25,0.04,EXT,REF,0_0_0,487,0.0725350014894251,-30.3241003447699,608,984,0.00797846974668609,0.00363232237071763,0.00760878253420896,66,-48.0549203579455,514,976,NA,NA,28443314.4912707,-25.5921691266783,-52,43
9,2,500000,raxml,0,0.25,0.05,EXT,NOREF,0_0_0,340,0.0506404527852249,-27.1603033190997,786,1208,1.00000050002909e-06,0.00443261511528133,0.00837237939300915,70,-27.1603033190997,885,1305,NA,NA,25943314.5086893,-20.794971763809,315,414
10,2,500000,raxml,0,0.25,0.05,EXT,REF,0_0_0,340,0.0506404527852249,-31.1398826964304,625,1135,0.012129964033763,0.00467306771567342,0.00877585614272747,78,-33.7341661019776,621,1039,NA,NA,28443314.5228981,-26.4079514783388,145,150
11,2,500000,raxml,0,0.25,0.1,EXT,NOREF,0_0_0,219,0.0326184092940125,-26.5190714387751,642,1078,1.00000050002909e-06,0.00542783633517555,0.0120489188392775,90,-26.5190714387751,642,1173,NA,NA,25943314.7263628,-20.1537398834844,268,171
12,2,500000,raxml,0,0.25,0.1,EXT,REF,0_0_0,219,0.0326184092940125,-29.2455103890577,659,1008,0.0154814695266955,0.00574322613970635,0.0127900155916258,88,-58.3451649923742,560,1000,NA,NA,28443314.6542917,-24.5135791709661,-6,89
13,2,500000,raxml,0,0.25,0.15,EXT,NOREF,0_0_0,115,0.0171283884420614,-25.7302739464174,773,1231,1.00000050002909e-06,0.00822331690074754,0.0199486270612312,108,-25.7302739464174,773,1231,NA,NA,25943315.0951696,-19.3649423911266,203,203
14,2,500000,raxml,0,0.25,0.15,EXT,REF,0_0_0,115,0.0171283884420614,-31.1553668252241,474,998,0.0260773767382611,0.00847725173242543,0.0198916086298442,104,-37.1022219555907,459,913,NA,NA,28443314.9458732,-26.4234356071325,-96,-12
15,2,500000,raxml,0,0.25,0,EXT,NOREF,0_0_0,5782,0.861185582365207,-32.9657873129618,555,1105,0.000826339107675559,0.000489799658820937,0.000348680768888417,34,-32.9657873129618,653,1104,NA,NA,25943313.9305902,-26.6004557576711,182,84
16,2,500000,raxml,0,0.25,0,EXT,REF,0_0_0,6243,0.929848078641644,-14.8646985194539,525,1018,0.00656533759565526,0.000459196533506672,0.000531874604533056,30,-1.60030312879777,431,917,NA,NA,28443313.9367313,-10.1327673013623,-135,-40
17,2,500000,raxml,0,0.5,0.01,EXT,NOREF,0_0_0,1761,0.262287756925827,-25.3732810081116,650,1103,0.000117572471475054,0.00145231803917137,0.00200352739227536,30,-25.3732810081116,649,1008,NA,NA,25943314.0975147,-19.0079494528208,81,178
18,2,500000,raxml,0,0.5,0.01,EXT,REF,0_0_0,1764,0.262734584450402,-30.2805964821017,426,1006,0.00199720989358785,0.00149049670263171,0.00205127976787247,30,93.8418274463309,422,910,NA,NA,28443314.0892836,-25.5486652640101,-144,-49
19,2,500000,raxml,0,0.5,0.02,EXT,NOREF,0_0_0,901,0.134197199880846,-23.6525851920341,695,1129,1.00000050002909e-06,0.00236088295325582,0.00392147814201904,48,-23.6525851920341,694,1128,NA,NA,25943314.305018,-17.2872536367434,126,126
