,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,refdist,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
1,5,500000,raxml,0,0.25,0.01,NA,REF,INT-77_0_0,NA,1000,1,-25.0605596306417,883,1233,0.000350853077551182,0.00101702095276348,0.00154271362686491,38,-24.8922408438651,745,1289,NA,NA,35612394.1835085,-25.6650043104772,438,497
2,5,500000,raxml,0,0.25,0.01,NA,REF,INT-77_0_0,NA,1000,1,-25.0605596306417,882,1330,0.000350853077551182,0.00101702095276348,0.00154271362686491,38,-24.8922408438651,843,1290,85.8181818181818,22.9157122981126,35612394.1835085,-25.6650043104772,438,498
3,5,500000,raxml,0,0.25,0.02,NA,REF,INT-77_0_0,NA,1000,1,-24.4725209969726,970,1503,1.00000050002909e-06,0.00144155843587607,0.00270516290621327,52,-24.2940911752559,1034,1367,NA,NA,35612394.3169259,-25.0769656768082,525,688
4,5,500000,raxml,0,0.25,0.02,NA,REF,INT-77_0_0,NA,1000,1,-24.4725209969726,1069,1504,1.00000050002909e-06,0.00144155843587607,0.00270516290621327,52,-24.2940911752559,1034,1464,82.9393939393939,25.4573746108652,35612394.3169259,-25.0769656768082,525,589
5,5,500000,raxml,0,0.25,0.03,NA,REF,INT-77_0_0,NA,1000,1,-24.4207642640691,938,1289,1.00000050002909e-06,0.00192281400341507,0.00403757237967244,50,-24.2501760413168,807,1255,NA,NA,35612394.4074052,-25.0252089439046,493,561
6,5,500000,raxml,0,0.25,0.03,NA,REF,INT-77_0_0,NA,1000,1,-24.4207642640691,837,1388,1.00000050002909e-06,0.00192281400341507,0.00403757237967244,50,-24.2501760413168,807,1255,80.6060606060606,27.5828319060149,35612394.4074052,-25.0252089439046,392,561
7,5,500000,raxml,0,0.25,0,NA,REF,INT-77_0_0,NA,1000,1,-32.1070416321687,1250,1672,0.000249668550084125,0.000211031194233497,0.000792267162699201,80,-31.8378719313078,1214,1632,NA,NA,35612394.06278,-32.7114863120043,806,868
8,5,500000,raxml,0,0.25,0,NA,REF,INT-77_0_0,NA,1000,1,-32.1070416321687,1251,1673,0.000249668550084125,0.000211031194233497,0.000792267162699201,80,-31.8378719313078,1213,1631,65.7171717171717,34.8249384030516,35612394.06278,-32.7114863120043,806,868
9,5,500000,raxml,0,0.5,0.01,NA,REF,INT-77_0_0,NA,1000,1,-24.1828573707335,930,1390,1.00000050002909e-06,0.000963981315389847,0.00143989174705883,50,-24.0353735553498,890,1348,NA,NA,35612394.1682808,-24.787302050569,485,544
10,5,500000,raxml,0,0.5,0.01,NA,REF,INT-77_0_0,NA,1000,1,-24.1828573707335,930,1390,1.00000050002909e-06,0.000963981315389847,0.00143989174705883,50,-24.0353735553498,890,1348,85.3838383838384,22.327665218201,35612394.1682808,-24.787302050569,485,544
11,5,500000,raxml,0,0.5,0.02,NA,REF,INT-77_0_0,NA,1000,1,-24.0152674206019,852,1338,1.00000050002909e-06,0.00137660475337176,0.00254846391195546,52,-23.8472033463672,822,1304,NA,NA,35612394.3040684,-24.6197121004374,306,476
12,5,500000,raxml,0,0.5,0.02,NA,REF,INT-77_0_0,NA,1000,1,-24.0152674206019,852,1239,1.00000050002909e-06,0.00137660475337176,0.00254846391195546,52,-23.8472033463672,822,1304,81.1515151515152,27.363525415982,35612394.3040684,-24.6197121004374,407,476
13,5,500000,raxml,0,0.5,0.03,NA,REF,INT-77_0_0,NA,1000,1,-24.5810828435264,660,1247,1.00000050002909e-06,0.00190913535491061,0.00401142043947199,50,-24.4019538291877,632,1116,NA,NA,35612394.3756073,-25.1855275233619,215,386
14,5,500000,raxml,0,0.5,0.03,NA,REF,INT-77_0_0,NA,1000,1,-24.5810828435264,761,1247,1.00000050002909e-06,0.00190913535491061,0.00401142043947199,50,-24.4019538291877,732,1116,79.3232323232323,28.3422336779167,35612394.3756073,-25.1855275233619,215,286
15,5,500000,raxml,0,0.5,0,NA,REF,INT-77_0_0,NA,1000,1,-26.0909947526061,790,1327,1.00000050002909e-06,0.000339650612505391,0.00126726892149378,70,-25.9311251483569,858,1292,NA,NA,35612394.0524817,-26.6954394324416,345,512
16,5,500000,raxml,0,0.5,0,NA,REF,INT-77_0_0,NA,1000,1,-26.0909947526061,891,1228,1.00000050002909e-06,0.000339650612505391,0.00126726892149378,70,-25.9311251483569,758,1194,70.2626262626263,31.6787400087593,35612394.0524817,-26.6954394324416,345,512
17,5,500000,raxml,0,0.75,0.01,NA,REF,INT-77_0_0,NA,1000,1,-24.4651263178465,858,1235,1.00000050002909e-06,0.000894586944829938,0.00129960797024061,26,-24.2840673388194,819,1195,NA,NA,35612394.1685958,-25.069570997682,413,373
18,5,500000,raxml,0,0.75,0.01,NA,REF,INT-77_0_0,NA,1000,1,-24.4651263178465,858,1334,1.00000050002909e-06,0.000894586944829938,0.00129960797024061,26,-24.2840673388194,719,1293,87.3333333333333,21.7175749388483,35612394.1685958,-25.069570997682,413,473
19,5,500000,raxml,0,0.75,0.02,NA,REF,INT-77_0_0,NA,1000,1,-31.6971574900489,510,905,0.0029741950120692,0.00135142450765422,0.0025545415979834,58,-108.34800356442,420,892,NA,NA,35612394.2796821,-32.3016021698844,75,74
20,5,500000,raxml,0,0.75,0.02,NA,REF,INT-77_0_0,NA,1000,1,-31.6971574900489,520,905,0.0029741950120692,0.00135142450765422,0.0025545415979834,58,-108.34800356442,420,892,79.3636363636364,27.543825762997,35612394.2796821,-32.3016021698844,65,74
21,5,500000,raxml,0,0.75,0.03,NA,REF,INT-77_0_0,NA,1000,1,-23.5399906238092,464,960,1.00000050002909e-06,0.00193057828376477,0.00398766102297361,44,-23.380943433538,535,930,NA,NA,35612394.3862613,-24.1444353036448,114,189
22,5,500000,raxml,0,0.75,0.03,NA,REF,INT-77_0_0,NA,1000,1,-23.5399906238092,559,1053,1.00000050002909e-06,0.00193057828376477,0.00398766102297361,44,-23.380943433538,535,1022,80.6868686868687,27.1088683676847,35612394.3862613,-24.1444353036448,114,186
23,5,500000,raxml,0,0.75,0,NA,REF,INT-77_0_0,NA,1000,1,-27.0832240257331,886,1336,1.00000050002909e-06,0.000314411003045646,0.00111330819221762,68,-26.8436483789557,876,1322,NA,NA,35612394.0534522,-27.6876687055687,441,530
24,5,500000,raxml,0,0.75,0,NA,REF,INT-77_0_0,NA,1000,1,-27.0832240257331,886,1336,1.00000050002909e-06,0.000314411003045646,0.00111330819221762,68,-26.8436483789557,776,1322,70.7575757575758,31.2446210584076,35612394.0534522,-27.6876687055687,441,530
25,5,500000,raxml,0,0,0.01,NA,REF,INT-77_0_0,NA,1000,1,-24.2859275769029,957,1405,1.00000050002909e-06,0.000895623222838943,0.00134150088378275,28,-24.117313844264,917,1265,NA,NA,35612394.1695114,-24.8903722567384,512,571
26,5,500000,raxml,0,0,0.01,NA,REF,INT-77_0_0,NA,1000,1,-24.2859275769029,957,1405,1.00000050002909e-06,0.000895623222838943,0.00134150088378275,28,-24.117313844264,917,1363,86.3434343434343,21.8469451542939,35612394.1695114,-24.8903722567384,512,471
27,5,500000,raxml,0,0,0.02,NA,REF,INT-77_0_0,NA,1000,1,-23.6459588818334,836,1191,1.00000050002909e-06,0.0013178656226573,0.00251882528855549,50,-23.4972180210721,806,1256,NA,NA,35612394.2384569,-24.2504035616689,290,360
28,5,500000,raxml,0,0,0.02,NA,REF,INT-77_0_0,NA,1000,1,-23.6459588818334,836,1290,1.00000050002909e-06,0.0013178656226573,0.00251882528855549,50,-23.4972180210721,806,1256,82.979797979798,24.1140909766933,35612394.2384569,-24.2504035616689,391,460
29,5,500000,raxml,0,0,0.03,NA,REF,INT-77_0_0,NA,1000,1,-24.5506529413839,655,1149,1.00000050002909e-06,0.00186527867088481,0.00389490951360902,46,-24.3642423152596,527,1019,NA,NA,35612394.3888022,-25.1550976212194,210,181
30,5,500000,raxml,0,0,0.03,NA,REF,INT-77_0_0,NA,1000,1,-24.5506529413839,655,1050,1.00000050002909e-06,0.00186527867088481,0.00389490951360902,46,-24.3642423152596,527,1019,80.7878787878788,26.8895217917545,35612394.3888022,-25.1550976212194,210,181
31,5,500000,raxml,0,0,0,NA,REF,INT-77_0_0,NA,1000,1,-24.9701178487411,975,1322,1.00000050002909e-06,0.000173674527362674,0.000629954458816933,62,-24.8255753190741,914,1358,NA,NA,35612394.0681758,-25.5745625285766,530,468
32,5,500000,raxml,0,0,0,NA,REF,INT-77_0_0,NA,1000,1,-24.9701178487411,874,1322,1.00000050002909e-06,0.000173674527362674,0.000629954458816933,62,-24.8255753190741,814,1358,68.7979797979798,34.3487455725497,35612394.0681758,-25.5745625285766,530,468
33,5,500000,raxml,0,1,0.01,NA,REF,INT-77_0_0,NA,1000,1,-24.7237319498976,784,1349,1.00000050002909e-06,0.00086636321452281,0.00135304466707878,40,-24.5595284870636,879,1337,NA,NA,35612394.1619598,-25.3281766297331,440,433
34,5,500000,raxml,0,1,0.01,NA,REF,INT-77_0_0,NA,1000,1,-24.7237319498976,885,1250,1.00000050002909e-06,0.00086636321452281,0.00135304466707878,40,-24.5595284870636,779,1337,87.2727272727273,21.8701260141281,35612394.1619598,-25.3281766297331,440,533
35,5,500000,raxml,0,1,0.02,NA,REF,INT-77_0_0,NA,1000,1,-25.1238433455978,574,1159,1.00000050002909e-06,0.00127511535650068,0.00239867858309874,60,-24.9317442070211,641,1127,NA,NA,35612394.2395585,-25.7282880254333,129,295
36,5,500000,raxml,0,1,0.02,NA,REF,INT-77_0_0,NA,1000,1,-25.1238433455978,574,1066,1.00000050002909e-06,0.00127511535650068,0.00239867858309874,60,-24.9317442070211,644,1127,81.6262626262626,25.4332202245714,35612394.2395585,-25.7282880254333,224,298
37,5,500000,raxml,0,1,0.03,NA,REF,INT-77_0_0,NA,1000,1,-24.7373345535132,592,993,1.00000050002909e-06,0.00187631235029024,0.00396234656932929,46,-24.5436335976125,443,935,NA,NA,35612394.3674587,-25.3417792333487,151,193
38,5,500000,raxml,0,1,0.03,NA,REF,INT-77_0_0,NA,1000,1,-24.7373345535132,499,1084,1.00000050002909e-06,0.00187631235029024,0.00396234656932929,46,-24.5436335976125,443,1029,81.4040404040404,25.8156411976796,35612394.3674587,-25.3417792333487,147,97
39,5,500000,raxml,0,1,0,NA,REF,INT-77_0_0,NA,1000,1,-44.0527807738198,1003,1340,0.000367871004146206,0.000268422596590802,0.00100474746118862,66,-43.6460401964874,889,1417,NA,NA,35612394.0558527,-44.6572254536553,558,642
40,5,500000,raxml,0,1,0,NA,REF,INT-77_0_0,NA,1000,1,-44.0527807738198,1004,1340,0.000367871004146206,0.000268422596590802,0.00100474746118862,66,-43.6460401964874,889,1321,68.2929292929293,32.2440478687825,35612394.0558527,-44.6572254536553,459,641
41,5,500000,raxml,20,0.25,0.01,NA,REF,INT-77_0_0,NA,1000,1,-25.0597365604161,826,1179,1.00000050002909e-06,0.00104194676990226,0.00156366403791947,42,-24.8555814741783,719,1267,NA,NA,35612394.204402,-25.6641812402516,381,373
42,5,500000,raxml,20,0.25,0.01,NA,REF,INT-77_0_0,NA,1000,1,-25.0597365604161,826,1278,1.00000050002909e-06,0.00104194676990226,0.00156366403791947,42,-24.8555814741783,819,1169,85.5757575757576,24.5585892157339,35612394.204402,-25.6641812402516,280,473
43,5,500000,raxml,20,0.25,0.02,NA,REF,INT-77_0_0,NA,1000,1,-25.7241180222822,691,1177,1.00000050002909e-06,0.00131674214020394,0.00260339000234076,56,-25.5209479319234,563,1049,NA,NA,35612394.279529,-26.3285627021177,246,311
44,5,500000,raxml,20,0.25,0.02,NA,REF,INT-77_0_0,NA,1000,1,-25.7241180222822,691,1180,1.00000050002909e-06,0.00131674214020394,0.00260339000234076,56,-25.5209479319234,657,1049,82.8888888888889,25.0830819025977,35612394.279529,-26.3285627021177,151,311
45,5,500000,raxml,20,0.25,0.03,NA,REF,INT-77_0_0,NA,1000,1,-23.515026019867,489,1078,1.00000050002909e-06,0.0019006168405735,0.00397128987365694,48,-23.3534275054543,433,1022,NA,NA,35612394.3640823,-24.1194706997025,142,87
46,5,500000,raxml,20,0.25,0.03,NA,REF,INT-77_0_0,NA,1000,1,-23.515026019867,584,1078,1.00000050002909e-06,0.0019006168405735,0.00397128987365694,48,-23.3534275054543,527,1019,82.3333333333333,26.5076038378517,35612394.3640823,-24.1194706997025,139,184
47,5,500000,raxml,20,0.25,0,NA,REF,INT-77_0_0,NA,1000,1,-25.4144157957116,1062,1488,1.00000050002909e-06,0.000284905934286859,0.00109891532909943,66,-25.2929654721929,1032,1454,NA,NA,35612394.0574727,-26.0188604755472,617,686
48,5,500000,raxml,20,0.25,0,NA,REF,INT-77_0_0,NA,1000,1,-25.4144157957116,1062,1389,1.00000050002909e-06,0.000284905934286859,0.00109891532909943,66,-25.2929654721929,932,1356,70.8484848484848,32.5358087301009,35612394.0574727,-26.0188604755472,617,686
49,5,500000,raxml,20,0.5,0.01,NA,REF,INT-77_0_0,NA,1000,1,-24.4474522676213,835,1410,1.00000050002909e-06,0.000918078633954451,0.00135757406966585,36,-24.2505441197182,841,1313,NA,NA,35612394.1730693,-25.0518969474568,491,395
50,5,500000,raxml,20,0.5,0.01,NA,REF,INT-77_0_0,NA,1000,1,-24.4474522676213,936,1410,1.00000050002909e-06,0.000918078633954451,0.00135757406966585,36,-24.2505441197182,741,1313,85.0707070707071,23.5316775316621,35612394.1730693,-25.0518969474568,390,395
51,5,500000,raxml,20,0.5,0.02,NA,REF,INT-77_0_0,NA,1000,1,-24.3429782451123,943,1484,1.00000050002909e-06,0.00143013034228353,0.0027166144071716,52,-24.1410750507146,949,1387,NA,NA,35612394.2891898,-24.9474229249478,498,603
52,5,500000,raxml,20,0.5,0.02,NA,REF,INT-77_0_0,NA,1000,1,-24.3429782451123,1044,1484,1.00000050002909e-06,0.00143013034228353,0.0027166144071716,52,-24.1410750507146,849,1387,83.4242424242424,23.7822137746313,35612394.2891898,-24.9474229249478,599,603
