,simulation,height,method,quality,missing,maf,int,noref,taxa_ref,sites,std.sites,gamma,colless,sackin,tree.height,Avg.BLs,SD.BLs,RF.Dist.ML,ingroup.gamma,ingroup.colless,ingroup.sackin,mean.support,sd.support,weighted.rf,std.gamma,std.colless,std.ingroup.colless
1,2,500000,raxml,0,0.25,0.01,EXT,NOREF,0_0_0,2004,0.274370208105148,-24.0394279501229,711,1167,0.000216189706843416,0.00136072511246008,0.00176197353689638,36,-24.0394279501229,612,1070,NA,NA,24047395.579587,-18.713726096668,274,175
2,2,500000,raxml,0,0.25,0.01,EXT,REF,0_0_0,2004,0.274370208105148,-25.2396276437196,751,1247,1.00000050002909e-06,0.00138578789220142,0.00179412520473711,34,-24.9821727766914,665,1159,NA,NA,26547395.5776121,-21.5963004574175,115,228
3,2,500000,raxml,0,0.25,0.01,EXT,NOREF,0_0_0,2004,0.274370208105148,-24.0394279501229,612,1167,0.000216189706843416,0.00136072511246008,0.00176197353689638,36,-24.0394279501229,612,1167,90.5257731958763,18.8027551081313,24047395.579587,-18.713726096668,274,274
4,2,500000,raxml,0,0.25,0.01,EXT,REF,0_0_0,2004,0.274370208105148,-25.2396276437196,651,1247,1.00000050002909e-06,0.00138578789220142,0.00179412520473711,34,-24.9821727766914,665,1159,90.2857142857143,19.2525269462072,26547395.5776121,-21.5963004574175,215,228
5,2,500000,raxml,0,0.25,0.02,EXT,NOREF,0_0_0,1095,0.149917853231106,-23.7194095623189,746,1090,0.000261662885516766,0.00207466874354149,0.0033303510797905,52,-23.7194095623189,743,1184,NA,NA,24047395.7007677,-18.3937077088639,309,309
6,2,500000,raxml,0,0.25,0.02,EXT,REF,0_0_0,1095,0.149917853231106,-28.5134922496684,556,1002,0.002557560245127,0.00210823667248222,0.00335134375161372,54,-28.1756137121694,524,893,NA,NA,26547395.7052102,-24.8701650633664,20,99
7,2,500000,raxml,0,0.25,0.02,EXT,NOREF,0_0_0,1095,0.149917853231106,-23.7194095623189,743,1181,0.000261662885516766,0.00207466874354149,0.0033303510797905,52,-23.7194095623189,650,1090,81.1443298969072,26.0915813732457,24047395.7007677,-18.3937077088639,306,309
8,2,500000,raxml,0,0.25,0.02,EXT,REF,0_0_0,1095,0.149917853231106,-28.5134922496684,556,916,0.002557560245127,0.00210823667248222,0.00335134375161372,54,-28.1756137121694,449,978,79.1632653061225,27.9497685944909,26547395.7052102,-24.8701650633664,20,12
9,2,500000,raxml,0,0.25,0.03,EXT,NOREF,0_0_0,894,0.122398685651698,-28.2041885477165,480,952,0.00363207643598564,0.00214128923816147,0.00391276051423932,54,-28.2041885477165,573,1037,NA,NA,24047395.7355796,-22.8784866942616,136,130
10,2,500000,raxml,0,0.25,0.03,EXT,REF,0_0_0,894,0.122398685651698,-25.2396489821992,724,1074,1.00000050002909e-06,0.00219057615988461,0.00398529144266055,60,-24.9886064320469,703,1050,NA,NA,26547395.7351787,-21.5963217958971,188,167
