sim tree_height int taxa_ref avg_dist
2 500000 EXT 0_0_0 0.243982
1 500000 EXT 0_0_0 0.216749
4 500000 EXT 0_0_0 0.208944
5 2000000 EXT 0_0_0 0.251668
4 2000000 EXT 0_0_0 0.249347
3 500000 EXT 0_0_0 0.238098
3 10000000 EXT 0_0_0 0.274936
5 500000 EXT 0_0_0 0.230625
1 10000000 EXT 0_0_0 0.281585
1 2000000 EXT 0_0_0 0.25041
4 10000000 EXT 0_0_0 0.273148
2 10000000 EXT 0_0_0 0.278168
2 2000000 EXT 0_0_0 0.272913
5 10000000 EXT 0_0_0 0.30142
3 2000000 EXT 0_0_0 0.270358
5 500000 INT 77_0_0 0.0235324
3 2000000 INT 2_0_0 0.0278422
1 500000 INT 70_0_0 0.0245314
1 10000000 INT 74_0_0 0.0268206
2 2000000 INT 53_0_0 0.0257049
4 2000000 INT 91_0_0 0.0236912
1 2000000 INT 91_0_0 0.0243363
2 500000 INT 24_0_0 0.0253765
4 500000 INT 29_0_0 0.0223775
3 500000 INT 48_0_0 0.0244902
4 10000000 INT 25_0_0 0.0245892
5 10000000 INT 4_0_0 0.0270088
2 10000000 INT 7_0_0 0.026152
5 2000000 INT 8_0_0 0.0257922
3 10000000 INT 40_0_0 0.0244451
